TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,820909,820394.6,821423.8
2000000,1435841,1434757.6,1436925.2
3000000,1936373.1,1934769.8,1937977.7
4000000,2360471.4,2358361.9,2362582.8
5000000,2728842.3,2726168.2,2731519
6000000,3053995.4,3050468.2,3057526.8
7000000,3344285.3,3338920.1,3349659
8000000,3605234.8,3595934.9,3614558.7
9000000,3842318.1,3825626.4,3859082.5
10000000,4056871.1,4028309.4,4085635.3
11000000,4253603.9,4208224.6,4299472.6
12000000,4433558.1,4366495.6,4501650.5
13000000,4599697.6,4506620.2,4694697.3
14000000,4753197.9,4630615.1,4879025.8
15000000,4895721.6,4741101.7,5055384.1
16000000,5025841.7,4837579.2,5221430.7
17000000,5149206.6,4926499.2,5381981.7
18000000,5263406.2,5006109.8,5533926.9
19000000,5370234.4,5078706.8,5678496.2
20000000,5473020.6,5147978.4,5818585.9
21000000,5569882,5212289.3,5952007.7
22000000,5660884,5271856.8,6078618.8
23000000,5746509.9,5327244.6,6198772.3
24000000,5825749.4,5377476.4,6311390.9
25000000,5900717.9,5424657.6,6418556.7
26000000,5971754.4,5469097.8,6520609.4
27000000,6039162.3,5511057.5,6617873.5
28000000,6103214.8,5550758.4,6710656.1
29000000,6164157.8,5588391.2,6799245.1
30000000,6222214,5624122.4,6883909.1
31000000,6277749.6,5658261.8,6965061.3
32000000,6332608.8,5692591,7044583.9
33000000,6384849,5725126.9,7120592.8
34000000,6434546.7,5755898.5,7193210.7
35000000,6482182.8,5785340,7262960
36000000,6527883.4,5813535.4,7330008.1
37000000,6571764.5,5840561.4,7394509.8
38000000,6613932.9,5866488.4,7456608.7
39000000,6654487.3,5891381.2,7516437.9
40000000,6693518.8,5915299.5,7574120.9
41000000,6731111.9,5938298.6,7629772.6
42000000,6767344.9,5960429.4,7683499.5
43000000,6802290.4,5981739.4,7735401.2
44000000,6835711.4,6001970.5,7785268.3
45000000,6867604.4,6021097.7,7833121.5
46000000,6898408.5,6039536.8,7879418.7
47000000,6928178.7,6057323.6,7924235.7
48000000,6956966.3,6074491.5,7967643.1
49000000,6984819.2,6091071.5,8009707.3
50000000,7011782.3,6107092.8,8050490.4
51000000,7037897.7,6122582.6,8090050.7
52000000,7063204.7,6137566.6,8128443.1
53000000,7087457.1,6151787.9,8165438.8
54000000,7110766.2,6165345.2,8201162.2
55000000,7133377.1,6178469.8,8235869.1
56000000,7155320.6,6191181.7,8269602.7
57000000,7176625.9,6203499.6,8302403.8
58000000,7197320.4,6215441.3,8334311
59000000,7217430,6227023.4,8365360.5
60000000,7236979.2,6238261.7,8395586.9
61000000,7255991.1,6249170.9,8425022.8
62000000,7274487.6,6259765.1,8453699
63000000,7292489.4,6270057.5,8481644.9
64000000,7310016,6280060.6,8508888.2
65000000,7327086,6289786.2,8535455.3
66000000,7343717.1,6299245.6,8561371.2
67000000,7359925.9,6308449.4,8586659.9
68000000,7375728.4,6317407.6,8611343.9
69000000,7391139.7,6326129.8,8635444.9
70000000,7406174.1,6334625.1,8658983.4
71000000,7420845.2,6342902.1,8681979.1
72000000,7435166.1,6350969,8704450.5
73000000,7449149.3,6358833.6,8726415.6
74000000,7462806.4,6366503.3,8747891.4
75000000,7476148.8,6373985.1,8768894.1
76000000,7489187.2,6381285.9,8789439.4
77000000,7501932,6388411.9,8809542
78000000,7514392.8,6395369.5,8829216.2
79000000,7526579.2,6402164.3,8848475.7
80000000,7538500.1,6408801.9,8867333.4
81000000,7550164,6415287.8,8885802
82000000,7561579.2,6421626.9,8903893.3
83000000,7572753.6,6427824.2,8921618.9
84000000,7583694.7,6433884.2,8938989.8
85000000,7594409.8,6439811.6,8956016.6
86000000,7604905.7,6445610.5,8972709.5
87000000,7615189.1,6451285,8989078.2
88000000,7625266.5,6456839.1,9005132.2
89000000,7635143.9,6462276.4,9020880.4
90000000,7644827.3,6467600.7,9036331.6
91000000,7654322.3,6472815.3,9051494.1
92000000,7663634.4,6477923.7,9066376
93000000,7672768.7,6482928.9,9080985
94000000,7681730.4,6487834,9095328.5
95000000,7690524.3,6492642.1,9109413.9
96000000,7699155,6497355.8,9123248
97000000,7707627.2,6501978,9136837.4
98000000,7715945,6506511.3,9150188.8
99000000,7724112.6,6510958.2,9163308.2
100000000,7732134.2,6515321,9176201.7
101000000,7740013.6,6519602.2,9188875.1
102000000,7747754.5,6523804,9201334
103000000,7755360.6,6527928.6,9213583.8
104000000,7762835.3,6531978.1,9225629.8
105000000,7770182,6535954.4,9237477.1
106000000,7777404.1,6539859.6,9249130.4
107000000,7784504.5,6543695.5,9260594.6
108000000,7791486.5,6547463.9,9271874.2
109000000,7798352.9,6551166.6,9282973.7
110000000,7805106.5,6554805.3,9293897.3
111000000,7811750.2,6558381.6,9304649.3
112000000,7818286.5,6561897.1,9315233.6
113000000,7824718.1,6565353.3,9325654.1
114000000,7831047.5,6568751.7,9335914.7
115000000,7837277.1,6572093.7,9346018.9
116000000,7843409.2,6575380.7,9355970.4
117000000,7849446.1,6578614.1,9365772.6
118000000,7855390,6581795.1,9375428.9
119000000,7861243,6584925,9384942.4
120000000,7867007.2,6588005,9394316.3
121000000,7872684.7,6591036.3,9403553.7
122000000,7878277.3,6594020.1,9412657.6
123000000,7883786.9,6596957.3,9421630.7
124000000,7889215.4,6599849.2,9430476.1
125000000,7894564.5,6602696.7,9439196.2
126000000,7899836.1,6605500.8,9447793.9
127000000,7905031.7,6608262.6,9456271.6
128000000,7910153,6610982.9,9464631.9
129000000,7915201.5,6613662.7,9472877.2
130000000,7920178.9,6616302.9,9481009.8
131000000,7925086.5,6618904.4,9489032.1
132000000,7929925.9,6621468,9496946.2
133000000,7934698.5,6623994.4,9504754.5
134000000,7939405.7,6626484.6,9512458.8
135000000,7944048.7,6628939.3,9520061.5
136000000,7948628.9,6631359.2,9527564.3
137000000,7953147.6,6633745.1,9534969.4
138000000,7957605.9,6636097.6,9542278.5
139000000,7962005.1,6638417.5,9549493.7
140000000,7966346.4,6640705.4,9556616.5
141000000,7970630.9,6642962.1,9563648.9
142000000,7974859.7,6645188,9570592.6
143000000,7979033.8,6647383.9,9577449.1
144000000,7983154.4,6649550.3,9584220.2
145000000,7987222.4,6651687.9,9590907.4
146000000,7991238.9,6653797.1,9597512.3
147000000,7995207.4,6655881.1,9604038.9
148000000,7999247.9,6658057.8,9610605.6
149000000,8003238.6,6660206.5,9617093.3
150000000,8007180.2,6662327.9,9623503.3
151000000,8011073.7,6664422.4,9629837
152000000,8014920,6666490.6,9636095.7
153000000,8018719.9,6668533,9642280.9
154000000,8022474.2,6670550,9648393.7
155000000,8026183.8,6672542.1,9654435.5
156000000,8029849.5,6674509.8,9660407.4
157000000,8033472.1,6676453.4,9666310.7
158000000,8037052.2,6678373.5,9672146.6
159000000,8040590.6,6680270.5,9677916.2
160000000,8044088.2,6682144.7,9683620.6
161000000,8047545.4,6683996.7,9689260.9
162000000,8050963.2,6685826.7,9694838.3
163000000,8054342.1,6687635.1,9700353.7
164000000,8057682.8,6689422.5,9705808.2
165000000,8060985.9,6691189,9711202.8
166000000,8064252,6692935.1,9716538.4
167000000,8067481.9,6694661.1,9721816.1
168000000,8070676,6696367.4,9727036.7
169000000,8073835.1,6698054.3,9732201.3
170000000,8076959.5,6699722.1,9737310.6
171000000,8080050,6701371.2,9742365.6
172000000,8083107.1,6703001.8,9747367.2
173000000,8086131.2,6704614.3,9752316.1
174000000,8089123,6706209,9757213.3
175000000,8092082.9,6707786.1,9762059.4
176000000,8095011.5,6709346,9766855.4
177000000,8097909.3,6710888.9,9771602
178000000,8100776.7,6712415.1,9776299.9
179000000,8103614.2,6713924.9,9780949.9
180000000,8106422.3,6715418.5,9785552.7
