TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,969547.5,969255.7,969839.4
2000000,1889586.5,1888780.1,1890393.2
3000000,2767189.3,2765692.4,2768687.1
4000000,3606349.9,3603958.4,3608742.9
5000000,4410007.4,4406588.7,4413428.8
6000000,5180694.9,5175907.5,5185486.6
7000000,5921131.9,5914519.7,5927751.5
8000000,6632848.3,6623998.6,6641709.8
9000000,7318190.8,7306585.3,7329814.7
10000000,7977695.2,7962557.2,7992861.9
11000000,8614039.2,8594657.9,8633464.2
12000000,9228460.3,9204157.2,9252827.5
13000000,9821640.1,9791744.2,9851627.4
14000000,10394276.6,10358123.2,10430556.2
15000000,10947351.2,10904285.4,10990587
16000000,11482640.9,11432020.8,11533485.2
17000000,12000215.7,11941414.9,12059306.2
18000000,12502687.1,12435097,12570644.6
19000000,12989154.3,12912185.9,13066581.6
20000000,13460745.2,13373830.2,13548225.1
21000000,13917921.5,13820513.5,14016016
22000000,14361556.6,14253131.4,14470806.5
23000000,14792359.2,14672415.3,14913283.5
24000000,15211445.7,15079504.4,15344541.5
25000000,15617954,15473559.3,15763696.2
26000000,16013117.5,15855835.8,16171959.3
27000000,16397278.3,16226698.3,16569651.5
28000000,16771154.9,16586886.7,16957470.1
29000000,17135030.3,16936705.4,17335677.5
30000000,17489303.3,17276573.7,17704652.3
31000000,17834440.8,17606978.2,18064841.9
32000000,18170277,17927772.7,18416061.6
33000000,18497292.8,18239456.6,18758773.9
34000000,18816084,18542643.4,19093556.8
35000000,19126958,18837658,19420701
36000000,19430207.4,19124809.3,19740482.4
37000000,19726110.1,19404391,20053163.2
38000000,20015189.4,19676941.7,20359251.6
39000000,20297591.5,19942622,20658879.3
40000000,20573413.1,20201542.5,20952129.1
41000000,20842882.3,20453944.4,21239215.9
42000000,21106216.7,20700058.1,21520344.5
43000000,21363693.4,20940172.7,21795780
44000000,21615544.2,21174531.3,22065742.2
45000000,21861857,21403232.9,22330308.4
46000000,22102813,21626469,22589649
47000000,22338585.6,21844422.8,22843927.3
48000000,22569340.5,22057269.7,23093299.4
49000000,22795236.7,22265177.3,23337915
50000000,23016426.2,22468306.3,23577917.6
51000000,23233055,22666810.7,23813444.7
52000000,23445262.9,22860838.1,24044628.3
53000000,23653556.5,23050902.1,24271967.1
54000000,23858065.9,23237139.7,24495584.1
55000000,24058548.8,23419315.3,24715230.3
56000000,24255123.4,23597553.3,24931017.3
57000000,24447626.5,23771696.6,25142775.9
58000000,24635817.4,23941510.1,25350259.6
59000000,24820420.4,24107723.4,25554186.9
60000000,25001537.3,24270443.1,25754654.1
61000000,25179266.1,24429772,25951754.3
62000000,25353700.9,24585808.8,26145576.7
63000000,25524932.7,24738648.7,26336207.7
64000000,25693048.9,24888383.1,26523730.3
65000000,25858133.9,25035100.3,26708224.9
66000000,26020269,25178885.2,26889768.7
67000000,26179532.7,25319819.7,27068436.5
68000000,26336000.5,25457982.6,27244300.4
69000000,26489745.6,25593450,27417430
70000000,26640838.5,25726295.4,27587892.7
71000000,26789347.2,25856589.5,27755753.6
72000000,26935337.6,25984400.7,27921075.4
73000000,27078873.2,26109795.1,28083919.2
74000000,27220015.4,26232836.2,28244343.6
75000000,27358823.7,26353585.7,28402405.7
76000000,27495355.5,26472103.1,28558160.6
77000000,27629666.4,26588445.9,28711661.7
78000000,27761810.1,26702669.6,28862960.6
79000000,27891868.8,26814857.9,29012137.5
80000000,28019981.9,26925151.9,29159329.8
81000000,28146079.1,27033482.8,29304465.6
82000000,28270207.6,27139899.2,29447590.5
83000000,28392412.6,27244447.6,29588747.9
84000000,28512733,27347168.2,29727975.5
85000000,28631358.3,27448251.4,29865460.9
86000000,28748189.7,27547599.6,30001104.4
87000000,28863267.7,27645254.4,30134945.1
88000000,28976631.5,27741255.7,30267021.1
89000000,29088319.1,27835642.7,30397369.3
90000000,29198367.5,27928452.9,30526025.6
91000000,29306812.5,28019722.9,30653024.8
92000000,29413688.9,28109488.3,30778400.8
93000000,29519030.6,28197783.4,30902186.7
94000000,29622870.3,28284641.7,31024414.3
95000000,29725240,28370095.7,31145115
96000000,29826170.7,28454176.8,31264319
97000000,29925692.6,28536915.6,31382055.7
98000000,30023834.9,28618341.9,31498354
99000000,30120626.2,28698484.4,31613241.6
100000000,30216094.1,28777371.2,31726745.9
101000000,30310265.8,28855029.6,31838893.3
102000000,30403167.3,28931486.1,31949709.6
103000000,30494824.2,29006766.4,32059219.9
104000000,30585261.4,29080895.6,32167448.7
105000000,30674503.1,29153897.9,32274419.8
106000000,30762572.8,29225797.2,32380156.5
107000000,30849434.2,29296557.1,32484622.2
108000000,30935004.1,29366094.9,32587733.7
109000000,31019469.9,29434597.6,32689677.8
110000000,31102852.7,29502086.4,32790475.6
111000000,31185173.2,29568582.2,32890147.5
112000000,31266451.7,29634105,32988713.5
