TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,921228.5,920885.3,921571.8
2000000,1719833.5,1718977.5,1720690
3000000,2423406,2421867.7,2424945.4
4000000,3049697.9,3047289.7,3052107.9
5000000,3611698.9,3608211.1,3615190.1
6000000,4119433.8,4114529.8,4124343.7
7000000,4580715,4573877.8,4587562.3
8000000,5002414.2,4992918.6,5011927.8
9000000,5389125.4,5376074,5402208.6
10000000,5744451.6,5726854,5762103.3
11000000,6073731.6,6050626.6,6096924.8
12000000,6378491.2,6349057.1,6408061.8
13000000,6662151.1,6625727.7,6698774.7
14000000,6926937.5,6882988.4,6971167.2
15000000,7173854.6,7121922.1,7226165.7
16000000,7404680.7,7344356.7,7465500.2
17000000,7621296.2,7552207,7691017.4
18000000,7824984.1,7746784.7,7903973
19000000,8016876.4,7929248.2,8105473.1
20000000,8197801.9,8100451.9,8296321.7
21000000,8369351.2,8262012.2,8478084.7
22000000,8531919.6,8414348.9,8651133
23000000,8685996.1,8557975.2,8815932.1
24000000,8832438.9,8693772.2,8973317.3
25000000,8971699.6,8822213.3,9123718.9
26000000,9103957.4,8943498.1,9267295.5
27000000,9230020.7,9058454.3,9404836.6
28000000,9350153.8,9167363.7,9536588.6
29000000,9464745.2,9270631.3,9662923.5
30000000,9574309.7,9368787.2,9784340.8
31000000,9679237.8,9462235.7,9901216.5
32000000,9779862.3,9551322.4,10013870.6
33000000,9876354.2,9636230.2,10122461.8
34000000,9968963.6,9717220,10227229.2
35000000,10057920.6,9794531.6,10328392.6
36000000,10143437.6,9868386.6,10426154.8
37000000,10225710.5,9938989.1,10520703.3
38000000,10304920.9,10006528.3,10612211.5
39000000,10381236.9,10071179.1,10700840.4
40000000,10454814.6,10133103.8,10786739.2
41000000,10525798.9,10192453.1,10870046.8
42000000,10594324.7,10249367.2,10950892.3
43000000,10660517.8,10303976.5,11029396.4
44000000,10724495.5,10356402.5,11105671.5
45000000,10786367.2,10406758.6,11179822.8
46000000,10846235.4,10455150.9,11251948.7
47000000,10904195.9,10501678.3,11322141.5
48000000,10960338.6,10546433.7,11390487.6
49000000,11014747.7,10589503.8,11457068.2
50000000,11067502.5,10630970.3,11521959.8
51000000,11118677.3,10670909.5,11585234.1
52000000,11168342.1,10709393.5,11646958.8
53000000,11216562.7,10746489.7,11707197.7
54000000,11263401.5,10782261.9,11766011
55000000,11308916.9,10816770,11823455.6
56000000,11353164.2,10850070.5,11879585.3
57000000,11396195.9,10882216.8,11934450.8
58000000,11438142.8,10913340.6,11988181.7
59000000,11478996.6,10943434.5,12040768.7
60000000,11518773.9,10972515.7,12092227.2
61000000,11557516.7,11000626.7,12142598.3
62000000,11595264.8,11027808.1,12191921
63000000,11632056,11054097.9,12240232.4
64000000,11667926.4,11079532.5,12287567.9
65000000,11702910.2,11104146.2,12333961
66000000,11737039.7,11127971.8,12379443.6
67000000,11770345.9,11151040.4,12424046.3
68000000,11802858.3,11173381.3,12467798.3
69000000,11834604.9,11195022.7,12510727.1
70000000,11865612.6,11215991.3,12552859.3
71000000,11895906.7,11236312.6,12594220.3
72000000,11925511.7,11256010.7,12634834.2
73000000,11954450.9,11275108.8,12674724.2
74000000,11982746.4,11293629,12713912.4
75000000,12010419.5,11311592.2,12752420.1
76000000,12037490.5,11329018.6,12790267.5
77000000,12063978.9,11345927.2,12827474.1
78000000,12089903.3,11362336.5,12864058.6
79000000,12115281.5,11378263.9,12900038.9
80000000,12140130.7,11393726.2,12935432.2
81000000,12164467.1,11408739.4,12970255
82000000,12188306.5,11423318.9,13004523.2
83000000,12211664,11437479.3,13038252
84000000,12234554.1,11451234.8,13071456.1
85000000,12256990.6,11464598.8,13104149.6
86000000,12278986.9,11477584.3,13136346
87000000,12300555.8,11490203.6,13168058.5
88000000,12321709.7,11502468.8,13199299.6
89000000,12342460.5,11514391.1,13230081.4
90000000,12362819.5,11525981.6,13260415.6
91000000,12382797.8,11537250.9,13290313.6
92000000,12402406,11548209,13319786.1
93000000,12421654.1,11558865.7,13348843.6
94000000,12440552.2,11569230.4,13377496.4
95000000,12459109.5,11579312.1,13405754.1
96000000,12477335.4,11589119.4,13433626.3
97000000,12495238.5,11598660.6,13461122
98000000,12512827.4,11607943.9,13488250
99000000,12530110.2,11616976.9,13515019
100000000,12547095,11625767,13541437.1
101000000,12563789.3,11634321.6,13567512.3
