TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,586808.5,585968.8,587649.4
2000000,895613.8,894233.8,896996
3000000,1108063.8,1105563.2,1110570.2
4000000,1267873.1,1259145.4,1276661.3
5000000,1394805.2,1379278.2,1410507.1
6000000,1498722.1,1476769.7,1521000.8
7000000,1585875.5,1556889.4,1615401.3
8000000,1660473.5,1623869.1,1697903
9000000,1724832.5,1680207.8,1770642.4
10000000,1780950,1728059.8,1835459
11000000,1830038.9,1768757.4,1893443.7
12000000,1873368.1,1803657.2,1945773.4
13000000,1912669.3,1834554.2,1994110.4
14000000,1948160.6,1861712.9,2038622.5
15000000,1980317.2,1885640.8,2079747.3
16000000,2009594.3,1906816,2117912.4
17000000,2036366.6,1925628.6,2153473
18000000,2060945.9,1942400.2,2186726.6
19000000,2083593.6,1957398.1,2217925
20000000,2104572.2,1970887.8,2247324.4
21000000,2123953.3,1982941.8,2274992.5
22000000,2141941.5,1993763.9,2301131.9
23000000,2158708.5,2003523.4,2325913.5
24000000,2174289.5,2012253.3,2349373.6
25000000,2188850,2020115.4,2371678.6
26000000,2202510.3,2027226.1,2392950.5
27000000,2215351.7,2033662.6,2413273
28000000,2227445.8,2039492.5,2432720.3
29000000,2238856.3,2044775.2,2451358.8
30000000,2249639.7,2049562.8,2469248
31000000,2259874.3,2053929.5,2486468.9
32000000,2269582.7,2057893.8,2503047.3
33000000,2278799.1,2061485.9,2519020.5
34000000,2287560.1,2064738.5,2534427.9
35000000,2295898.7,2067680.9,2549305.7
36000000,2303844.7,2070339.2,2563686.4
37000000,2311425.5,2072737.2,2577600.1
38000000,2318692.7,2074923,2591101.2
39000000,2325721.7,2076968.6,2604267.3
40000000,2332450.4,2078809,2617039.3
41000000,2338897.7,2080460.2,2629438.6
42000000,2345080.9,2081936.7,2641485
43000000,2351016,2083251.6,2653196.8
44000000,2356717.6,2084417,2664590.7
45000000,2362199.3,2085443.8,2675682.6
46000000,2367473.6,2086342.3,2686486.9
47000000,2372552,2087121.5,2697017.4
48000000,2377445.3,2087790.1,2707286.6
49000000,2382163.4,2088355.8,2717306.3
50000000,2386715.6,2088825.8,2727087.7
51000000,2391110.4,2089206.9,2736641
52000000,2395356.1,2089505,2745976
53000000,2399459.9,2089726,2755101.7
54000000,2403428.9,2089875,2764026.8
55000000,2407269.7,2089956.9,2772759.2
56000000,2410988.3,2089976.3,2781306.5
57000000,2414590.6,2089937.3,2789675.9
58000000,2418081.8,2089843.8,2797874
59000000,2421467.1,2089699.5,2805907.3
60000000,2424751.3,2089507.6,2813781.8
61000000,2427938.7,2089271.5,2821503.2
62000000,2431033.6,2088993.9,2829076.9
63000000,2434040,2088677.6,2836507.9
64000000,2436913.9,2088278.1,2843754.1
65000000,2439686.4,2087824.9,2850847.2
66000000,2442382.5,2087341.6,2857813
67000000,2445013.2,2086838.3,2864663.5
68000000,2447589.6,2086324.7,2871410.7
69000000,2450098,2085786.4,2878041.8
70000000,2452541,2085224.9,2884560.5
71000000,2454921.2,2084642,2890970.2
72000000,2457240.8,2084039,2897274.2
73000000,2459502.3,2083417.4,2903475.5
74000000,2461707.7,2082778.4,2909577.2
75000000,2463859.1,2082123.4,2915582.2
76000000,2465958.6,2081453.4,2921493
77000000,2468007.9,2080769.6,2927312.4
78000000,2470008.8,2080073,2933042.9
79000000,2471963,2079364.5,2938686.8
80000000,2473872.2,2078645,2944246.6
81000000,2475737.8,2077915.4,2949724.3
82000000,2477561.4,2077176.6,2955122.1
83000000,2479344.3,2076429.1,2960442.1
84000000,2481088,2075673.9,2965686.2
85000000,2482793.6,2074911.5,2970856.4
86000000,2484462.4,2074142.5,2975954.4
87000000,2486095.7,2073367.6,2980982
88000000,2487694.4,2072587.3,2985941
89000000,2489259.8,2071802.2,2990832.8
90000000,2490792.8,2071012.8,2995659.2
91000000,2492294.4,2070219.5,3000421.6
92000000,2493765.6,2069422.8,3005121.5
93000000,2495207.3,2068623,3009760.3
94000000,2496620.4,2067820.7,3014339.4
95000000,2498005.7,2067016.2,3018860.1
96000000,2499364.1,2066209.7,3023323.7
97000000,2500696.2,2065401.8,3027731.4
98000000,2502003,2064592.6,3032084.4
99000000,2503285,2063782.4,3036383.9
100000000,2504543,2062971.7,3040631
101000000,2505777.6,2062160.5,3044826.7
102000000,2506989.6,2061349.3,3048972.3
103000000,2508179.4,2060538.1,3053068.5
104000000,2509347.8,2059727.3,3057116.6
105000000,2510495.3,2058917,3061117.3
106000000,2511622.4,2058107.4,3065071.7
107000000,2512729.7,2057298.8,3068980.7
108000000,2513817.6,2056491.3,3072845.1
109000000,2514886.8,2055685.1,3076665.7
110000000,2515937.7,2054880.3,3080443.5
111000000,2516970.8,2054077,3084179.3
112000000,2517986.4,2053275.5,3087873.7
113000000,2518985.1,2052475.8,3091527.6
114000000,2519967.2,2051678.1,3095141.8
115000000,2520933.2,2050882.5,3098716.8
116000000,2521883.5,2050089.1,3102253.6
117000000,2522818.4,2049298,3105752.6
118000000,2523738.3,2048509.3,3109214.7
119000000,2524643.6,2047723,3112640.3
120000000,2525534.6,2046939.3,3116030.3
121000000,2526411.7,2046158.3,3119385.2
122000000,2527275.1,2045380,3122705.5
123000000,2528125.2,2044604.5,3125991.9
124000000,2528962.4,2043831.9,3129245
125000000,2529786.8,2043062.1,3132465.3
126000000,2530598.8,2042295.4,3135653.3
127000000,2531398.7,2041531.6,3138809.6
128000000,2532186.7,2040771,3141934.8
129000000,2532963,2040013.4,3145029.2
130000000,2533728.1,2039259,3148093.4
131000000,2534482,2038507.9,3151127.9
132000000,2535225.1,2037759.9,3154133.1
133000000,2535957.5,2037015.3,3157109.6
134000000,2536679.5,2036273.9,3160057.7
135000000,2537391.3,2035535.8,3162977.9
136000000,2538093.2,2034801.1,3165870.6
137000000,2538785.3,2034069.8,3168736.3
138000000,2539467.9,2033341.9,3171575.3
139000000,2540141,2032617.4,3174388.1
140000000,2540805,2031896.3,3177175.1
141000000,2541460.1,2031178.7,3179936.5
142000000,2542106.3,2030464.5,3182672.9
143000000,2542743.9,2029753.7,3185384.6
144000000,2543373,2029046.5,3188071.9
145000000,2543993.8,2028342.7,3190735.2
146000000,2544606.5,2027642.4,3193374.9
147000000,2545211.3,2026945.6,3195991.2
148000000,2545808.2,2026252.4,3198584.5
149000000,2546397.5,2025562.6,3201155.1
150000000,2546979.2,2024876.3,3203703.4
151000000,2547553.6,2024193.5,3206229.7
152000000,2548120.7,2023514.2,3208734.2
153000000,2548680.7,2022838.4,3211217.3
154000000,2549233.8,2022166,3213679.2
155000000,2549780,2021497.2,3216120.3
156000000,2550319.6,2020831.9,3218540.8
157000000,2550852.5,2020170,3220941.1
158000000,2551379,2019511.6,3223321.3
159000000,2551899.1,2018856.6,3225681.7
160000000,2552413,2018205.1,3228022.6
161000000,2552920.7,2017557.1,3230344.3
162000000,2553422.4,2016912.5,3232647
163000000,2553918.3,2016271.3,3234931
164000000,2554408.3,2015633.5,3237196.5
165000000,2554892.6,2014999.1,3239443.7
166000000,2555371.3,2014368.1,3241672.8
167000000,2555844.5,2013740.5,3243884.2
168000000,2556312.3,2013116.3,3246078
169000000,2556774.7,2012495.4,3248254.4
170000000,2557232,2011877.8,3250413.7
171000000,2557684.1,2011263.6,3252556.1
172000000,2558131.1,2010652.7,3254681.7
173000000,2558573.1,2010045.1,3256790.9
174000000,2559010.3,2009440.8,3258883.7
175000000,2559442.7,2008839.7,3260960.5
176000000,2559870.3,2008241.9,3263021.3
177000000,2560293.3,2007647.3,3265066.4
178000000,2560711.7,2007055.9,3267095.9
179000000,2561125.5,2006467.8,3269110.1
180000000,2561535,2005882.8,3271109.2
181000000,2561940.1,2005301,3273093.2
182000000,2562340.9,2004722.3,3275062.5
183000000,2562737.5,2004146.8,3277017.1
184000000,2563129.9,2003574.5,3278957.2
185000000,2563518.2,2003005.2,3280883.1
186000000,2563902.5,2002439,3282794.8
187000000,2564282.9,2001875.9,3284692.5
188000000,2564659.3,2001315.8,3286576.4
189000000,2565031.9,2000758.8,3288446.7
190000000,2565400.7,2000204.8,3290303.5
191000000,2565765.8,1999653.8,3292146.9
192000000,2566127.2,1999105.7,3293977.2
193000000,2566485,1998560.7,3295794.3
194000000,2566839.2,1998018.6,3297598.6
195000000,2567189.9,1997479.4,3299390.1
196000000,2567537.1,1996943.1,3301169
197000000,2567881,1996409.8,3302935.5
198000000,2568221.4,1995879.3,3304689.5
199000000,2568558.6,1995351.7,3306431.4
200000000,2568892.5,1994826.9,3308161.2
201000000,2569223.2,1994304.9,3309879
202000000,2569550.8,1993785.8,3311585
203000000,2569875.2,1993269.4,3313279.3
204000000,2570196.5,1992755.9,3314962.1
205000000,2570514.8,1992245,3316633.4
206000000,2570830.1,1991736.9,3318293.3
207000000,2571142.5,1991231.6,3319942.1
208000000,2571451.9,1990728.9,3321579.8
209000000,2571758.5,1990228.9,3323206.5
210000000,2572062.2,1989731.6,3324822.3
211000000,2572363.2,1989237,3326427.4
212000000,2572661.4,1988744.9,3328021.9
213000000,2572956.9,1988255.5,3329605.8
214000000,2573249.7,1987768.7,3331179.3
215000000,2573539.9,1987284.5,3332742.5
216000000,2573827.5,1986802.8,3334295.5
217000000,2574112.5,1986323.7,3335838.4
218000000,2574394.9,1985847.2,3337371.3
219000000,2574674.9,1985373.1,3338894.3
220000000,2574952.4,1984901.5,3340407.5
221000000,2575227.5,1984432.5,3341910.9
222000000,2575500.1,1983965.8,3343404.8
223000000,2575770.4,1983501.7,3344889.1
224000000,2576038.3,1983040,3346364
225000000,2576304,1982580.6,3347829.6
226000000,2576567.3,1982123.7,3349286
227000000,2576828.4,1981669.2,3350733.1
228000000,2577087.3,1981217.1,3352171.3
229000000,2577344,1980767.3,3353600.4
230000000,2577598.5,1980319.8,3355020.7
231000000,2577850.8,1979874.6,3356432.2
232000000,2578101.1,1979431.8,3357834.9
233000000,2578349.3,1978991.3,3359229
234000000,2578595.4,1978553,3360614.6
235000000,2578839.4,1978117,3361991.7
236000000,2579081.5,1977683.2,3363360.4
237000000,2579321.6,1977251.7,3364720.8
238000000,2579559.7,1976822.3,3366072.9
239000000,2579795.9,1976395.2,3367416.9
