TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,926721,926416,927026.1
2000000,1736828.5,1736064.8,1737592.6
3000000,2455373.4,2454035.1,2456712.4
4000000,3098845.6,3096815.6,3100877
5000000,3679618,3676748.6,3682489.6
6000000,4207359.7,4203361.8,4211361.4
7000000,4689298.6,4683623.8,4694980.2
8000000,5131665.8,5123300.6,5140044.7
9000000,5539324.4,5527104.4,5551571.5
10000000,5917033.4,5899739.2,5934378.2
11000000,6267386.6,6243680.7,6291182.6
12000000,6592939.5,6561469.9,6624560
13000000,6897695.6,6857177.5,6938453
14000000,7182393.8,7131651.5,7233497.1
15000000,7449818.6,7387801.3,7512356.5
16000000,7700853.6,7626634.1,7775795.4
17000000,7938115.6,7850879.4,8026321.1
18000000,8161900,8060931.9,8264132.7
19000000,8373658.7,8258328.6,8490599.4
20000000,8574533,8444283.5,8706791.4
21000000,8765187.1,8619523.5,8913312.3
22000000,8946069.3,8784550.4,9110558
23000000,9118157.3,8940388.3,9299461
24000000,9282631.2,9088257.7,9481161.8
25000000,9439575.6,9228278.7,9655710.5
26000000,9589508.2,9361000.2,9823594.2
27000000,9732899,9486920.1,9985255.8
28000000,9870176.2,9606491.2,10141099
29000000,10001730.4,9720126.6,10291492.7
30000000,10127812.5,9828097.2,10436667.8
31000000,10248843.3,9930842.3,10577027.2
32000000,10365131.8,10028687.4,10712863.2
33000000,10476955.7,10121925.7,10844438.5
34000000,10584571.3,10210827.3,10971995.4
35000000,10688215.4,10295642.1,11095757.6
36000000,10788106.8,10376600.7,11215932.1
37000000,10884448.7,10453917.4,11332710.8
38000000,10977429.3,10527790.8,11446271.7
39000000,11067223.8,10598405.3,11556780.3
40000000,11154135.6,10666073.2,11664530.9
41000000,11238362.2,10731000,11769712.4
42000000,11319864.2,10793154.3,11872277.7
43000000,11398411.6,10852313.4,11971989.9
44000000,11474164.9,10908644.6,12069002.7
45000000,11547559,10962588.5,12163743.9
46000000,11618703.1,11014260.1,12256316.9
47000000,11687699.9,11063767.5,12346818.5
48000000,11754645.9,11111212.1,12435339.9
49000000,11819631.7,11156689.3,12521966.8
50000000,11882742.7,11200288.8,12606779.7
51000000,11944059.4,11242095.2,12689854.8
52000000,12003657.8,11282188.2,12771263.7
53000000,12061609.5,11320643,12851074.2
54000000,12117982.1,11357530.5,12929350.3
55000000,12172839.8,11392917.9,13006152.6
56000000,12226243,11426868.5,13081538.3
57000000,12278249.2,11459442.5,13155561.7
58000000,12328912.7,11490696.7,13228274.4
59000000,12378285.2,11520685,13299725.2
60000000,12426415.6,11549458.6,13369960.4
61000000,12473350.3,11577065.9,13439024.2
62000000,12519133.7,11603553,13506958.5
63000000,12563807.7,11628963.7,13573803.1
64000000,12607412.3,11653339.6,13639596.1
65000000,12649985.7,11676720.3,13704373.6
66000000,12691564.1,11699143.5,13768170.2
67000000,12732182.1,11720645.1,13831018.7
68000000,12771872.8,11741259.3,13892950.6
69000000,12810667.7,11761018.7,13953995.8
70000000,12848596.8,11779954.5,14014183.2
71000000,12885689,11798096.4,14073540
72000000,12921971.7,11815472.7,14132092.5
73000000,12957471.2,11832110.5,14189865.8
74000000,12992212.7,11848035.8,14246884.1
75000000,13026220.3,11863273.2,14303170.2
76000000,13059517.1,11877846.7,14358746.3
77000000,13092125.2,11891778.7,14413633.7
78000000,13124065.8,11905091.1,14467852.6
79000000,13155359.2,11917804.6,14521422.4
80000000,13186025,11929939.3,14574362.1
81000000,13216081.9,11941514.2,14626689.6
82000000,13245548,11952547.8,14678422.1
83000000,13274440.5,11963057.5,14729576.4
84000000,13302776,11973060.4,14780168.4
85000000,13330570.6,11982572.6,14830213.6
86000000,13357839.6,11991609.8,14879726.8
87000000,13384597.8,12000186.9,14928722.3
88000000,13410859.5,12008318.4,14977213.8
89000000,13436638.4,12016018.1,15025214.6
90000000,13461947.7,12023299.4,15072737.6
91000000,13486800.2,12030175,15119795
92000000,13511208.2,12036657.4,15166398.9
93000000,13535183.4,12042758.3,15212560.5
94000000,13558737.4,12048489.4,15258291.2
95000000,13581881.1,12053861.6,15303601.5
96000000,13604625.3,12058885.6,15348501.9
97000000,13626980.1,12063571.6,15393002.4
98000000,13648955.5,12067929.5,15437112.6
99000000,13670561.2,12071969,15480841.8
100000000,13691806.3,12075699.1,15524199.3
101000000,13712699.8,12079128.8,15567193.6
102000000,13733250.5,12082266.8,15609833.3
103000000,13753466.7,12085121.2,15652126.6
104000000,13773356.5,12087700.1,15694081.5
105000000,13792927.8,12090011.2,15735705.6
106000000,13812188.1,12092062.1,15777006.4
107000000,13831144.9,12093860,15817991.1
108000000,13849805.3,12095411.8,15858666.9
109000000,13868176.1,12096724.4,15899040.3
110000000,13886264.1,12097804.3,15939118.1
111000000,13904075.8,12098657.8,15978906.7
112000000,13921617.4,12099291.1,16018412.2
113000000,13938895.1,12099710.1,16057640.7
114000000,13955914.8,12099920.6,16096598.1
115000000,13972682.2,12099928.1,16135290
116000000,13989203,12099738.1,16173721.9
117000000,14005482.4,12099355.8,16211899.3
118000000,14021525.8,12098786.2,16249827.2
119000000,14037338.3,12098034.4,16287510.9
120000000,14052924.8,12097105,16324955.1
121000000,14068290.2,12096002.6,16362164.8
122000000,14083439,12094731.8,16399144.5
123000000,14098376,12093297,16435898.8
124000000,14113105.5,12091702.3,16472432.2
125000000,14127631.7,12089951.9,16508748.8
126000000,14141959,12088049.6,16544852.9
127000000,14156091.2,12085999.5,16580748.5
128000000,14170032.5,12083805.3,16616439.7
129000000,14183786.6,12081470.5,16651930.1
130000000,14197357.4,12078998.8,16687223.7
131000000,14210748.3,12076393.6,16722324.1
132000000,14223963.1,12073658.2,16757234.8
133000000,14237005.1,12070795.9,16791959.3
134000000,14249877.8,12067809.9,16826501.1
135000000,14262584.3,12064703.2,16860863.3
136000000,14275128,12061478.8,16895049.3
