TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,679166,678576.7,679755.8
2000000,1076187.5,1075144,1077232
3000000,1356438.5,1355026.2,1357852.2
4000000,1571274.1,1569535.3,1573014.8
5000000,1744076.6,1742019.4,1746136.3
6000000,1887406.4,1884942,1889874
7000000,2009100.3,2005695,2012511.5
8000000,2114171.1,2108362.5,2119995.8
9000000,2205406,2195467.9,2215389.1
10000000,2286782.9,2272068.1,2301593
11000000,2359258.3,2339977.7,2378697.7
12000000,2424224.4,2400395.4,2448290
13000000,2482599.4,2454059.9,2511470.7
14000000,2535911.2,2502451.3,2569818.6
15000000,2584496.3,2545931.3,2623645.4
16000000,2629012.9,2585209.3,2673558.6
17000000,2669984.9,2620861.9,2720028.5
18000000,2707885.8,2653408.4,2763481.7
19000000,2743319.2,2683489.7,2804482.6
20000000,2775868,2710719,2842582.8
21000000,2806329.1,2735916.4,2878554
22000000,2834793.7,2759191.4,2912467.5
23000000,2861523.5,2780819.8,2944569.4
24000000,2886615.3,2800909.1,2974944.1
25000000,2910216.9,2819614.9,3003730.3
26000000,2932458.7,2837073.1,3031051.4
27000000,2953456.1,2853402.8,3057017.7
28000000,2973311.7,2868708.9,3081728.6
29000000,2992000.6,2882967.5,3105157.3
30000000,3009699.3,2896354.9,3127479.1
31000000,3026500.9,2908963.5,3148787.3
32000000,3042470.3,2920856.7,3169147.4
33000000,3057673.3,2932098.4,3188626.4
34000000,3072164.2,2942740.3,3207280.2
35000000,3085992,2952829.2,3225160
36000000,3099201.5,2962406.8,3242313
37000000,3111833.4,2971511,3258782.3
38000000,3123925,2980175.9,3274607.9
39000000,3135510.4,2988432.6,3289826.6
40000000,3146620.7,2996309.3,3304472.6
41000000,3157284.8,3003831.5,3318577.4
42000000,3167529.1,3011022.7,3332170.4
43000000,3177378,3017904.3,3345278.7
44000000,3186874.6,3024516.4,3357948.4
45000000,3196145.4,3030982.4,3370308.5
46000000,3205081.3,3037190.6,3382252.6
47000000,3213700.1,3043156.2,3393801.5
48000000,3222018.5,3048893.2,3404974.3
49000000,3230051.9,3054414.5,3415789
50000000,3237814.9,3059732.1,3426262.5
51000000,3245320.9,3064857.2,3436410.6
52000000,3252582.5,3069800.1,3446248.2
53000000,3259611.5,3074570.3,3455789.3
54000000,3266418.9,3079176.8,3465047.1
55000000,3273015,3083627.8,3474033.9
56000000,3279409.7,3087931.3,3482761.4
57000000,3285611.9,3092094.3,3491240.7
58000000,3291630.3,3096123.8,3499482.1
59000000,3297472.9,3100026,3507495.6
60000000,3303147.4,3103807,3515290.4
61000000,3308660.9,3107472.2,3522875.3
62000000,3314020.2,3111027,3530258.7
63000000,3319231.7,3114476.3,3537448.5
64000000,3324301.4,3117824.6,3544452.1
