TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,790305.5,789730.4,790881
2000000,1351034,1349898.9,1352170.1
3000000,1791363,1789747.8,1792979.7
4000000,2154477.9,2152418.8,2156538.9
5000000,2463381.1,2460850.2,2465914.6
6000000,2731675.2,2728520.9,2734833.1
7000000,2968202.5,2963970.9,2972440
8000000,3179252.9,3172926.9,3185591.6
9000000,3369656.2,3359812,3379529.3
10000000,3543107.6,3527378.9,3558906.4
11000000,3700942.8,3677588.1,3724445.9
12000000,3845979.9,3815328.7,3876877.3
13000000,3980121.8,3943022.3,4017570.3
14000000,4104647.3,4060671.7,4149099.2
15000000,4220244,4168213.8,4272923.6
16000000,4328271.7,4266956.8,4390467.6
17000000,4429298.7,4357693.6,4502080.4
18000000,4524268.6,4441651.3,4608422.6
19000000,4613159.2,4519068.8,4709208.7
20000000,4697342.4,4591525.2,4805598.3
21000000,4776645.9,4658995.8,4897266.8
22000000,4852102.2,4722605.9,4985149.3
23000000,4923714.9,4782409.6,5069195.4
24000000,4991754.5,4838698,5149652.5
25000000,5056371.2,4891624,5226667
26000000,5117568.3,4941183.8,5300249.1
27000000,5175914.3,4987934.5,5370978.6
28000000,5231610.6,5032065.2,5439069
29000000,5284839.2,5073746.9,5504713.9
30000000,5336237.6,5113607.8,5568559.9
31000000,5385501.6,5151337.3,5630310.4
32000000,5432760.6,5187059.7,5690099.8
33000000,5478138.3,5220896.1,5748055.3
34000000,5521533.4,5252743.7,5804077.5
35000000,5562840.2,5282496.8,5858061.4
36000000,5602566.4,5310663.5,5910513.9
37000000,5640802.6,5337335.4,5961524.1
38000000,5677632.3,5362597.9,6011173.8
39000000,5713132.7,5386530.1,6059538.2
40000000,5747708.7,5409538.6,6107019
41000000,5781265.3,5431531,6153518.9
42000000,5813698.2,5452405.5,6198931.3
43000000,5845063.9,5472221.1,6243310
44000000,5875415.1,5491032.6,6286705.1
45000000,5904705.9,5508796.6,6329068.6
46000000,5932826.5,5525405.9,6370288.6
47000000,5960070.1,5541155,6410655.5
48000000,5986477.7,5556086.9,6450207.8
49000000,6012087.4,5570241.4,6488981.9
50000000,6036935.4,5583656.1,6527011.7
51000000,6061055.3,5596366.5,6564329.2
52000000,6084479.1,5608405.6,6600964.4
53000000,6107236.7,5619804.9,6636945.8
54000000,6129356.4,5630593.6,6672300
55000000,6150864.8,5640799.6,6707052.3
56000000,6171787.1,5650448.9,6741226.5
57000000,6192147.2,5659566.4,6774845.4
58000000,6211967.6,5668175.3,6807930.1
59000000,6231269.6,5676297.8,6840501.1
60000000,6250073.5,5683954.5,6872577.6
61000000,6268458.6,5691225.4,6904237.6
62000000,6286757.1,5698441.6,6935811.1
63000000,6304699.1,5705334.8,6967028.6
64000000,6322213.3,5711834.6,6997818.4
65000000,6339315.1,5717956.6,7028195.3
66000000,6356019,5723715.8,7058173.2
67000000,6372339,5729126.4,7087765.5
68000000,6388288.3,5734201.7,7116985
69000000,6403879.6,5738954.7,7145843.7
70000000,6419124.9,5743397.7,7174353.4
71000000,6434035.8,5747542.2,7202525.1
72000000,6448623.3,5751399.4,7230369.5
73000000,6462898,5754979.9,7257896.9
74000000,6476869.9,5758293.8,7285116.9
75000000,6490310.4,5761114.2,7311802.5
76000000,6503153.7,5763375.8,7337888.4
77000000,6515724.7,5765401.5,7363696.7
78000000,6528032,5767199.9,7389236.1
79000000,6540083.7,5768779,7414514.4
80000000,6551887.9,5770146.8,7439539.4
81000000,6563452,5771310.7,7464318.6
82000000,6574783.4,5772278,7488859.1
83000000,6585889,5773055.4,7513167.8
84000000,6596775.5,5773649.7,7537251.2
