TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,883364,882900.3,883827.9
2000000,1591560.9,1590239.2,1592883.7
3000000,2176074.5,2173468.4,2178683.7
4000000,2668297.4,2663591.7,2673011.5
5000000,3088857.5,3080687.8,3097048.9
6000000,3453252.4,3440201.8,3466352.6
7000000,3771342,3752209,3790572.5
8000000,4051660.9,4025450,4078042.5
9000000,4301420.1,4267308.6,4335804.3
10000000,4525182.9,4482494.3,4568278.1
11000000,4726496.1,4674677.4,4778889.3
12000000,4908224.6,4846826.6,4970400.4
13000000,5073713.1,5002373.9,5146069.7
14000000,5224954.2,5143384.9,5307817.2
15000000,5363686.1,5271658.9,5457319.8
16000000,5491406.9,5388745.4,5596024.2
17000000,5609383.5,5495954,5725154
18000000,5718694.7,5594399.7,5845751.4
19000000,5820265.1,5685037.1,5958709.7
20000000,5914891.7,5768688.8,6064799.9
21000000,6003265.3,5846067.1,6164690.4
22000000,6086069.9,5917874.1,6259046.1
23000000,6164026,5984845.3,6348571.2
24000000,6237294.1,6047154.3,6433412.5
25000000,6306193.5,6105131.3,6513877.4
26000000,6371195.2,6159256.4,6590426.8
27000000,6432621.5,6209859.7,6663374.3
28000000,6490760,6257235.3,6732999.9
29000000,6546264.3,6302042.1,6799950.9
30000000,6598996.3,6344146.6,6864083.6
31000000,6648912.1,6383508.9,6925349.8
32000000,6696371.5,6420492,6984105.1
33000000,6741597.8,6455321.7,7040569.5
34000000,6784745.4,6488154.3,7094894.4
35000000,6825954.4,6519131.9,7147217.6
36000000,6865353.1,6548383.7,7197665.1
37000000,6903058.2,6576027.8,7246352
38000000,6939176.8,6602171.8,7293384.2
39000000,6973807.2,6626914.5,7338858.5
40000000,7007039.7,6650346.4,7382864.3
41000000,7038957.2,6672550.7,7425484
42000000,7069636.5,6693603.9,7466793.7
43000000,7099148.2,6713576.8,7506863.7
44000000,7127558,6732534.4,7545759.1
45000000,7154804.1,6750415,7583418.5
