TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,830672.5,830207.9,831137.3
2000000,1457300,1456292.8,1458307.9
3000000,1966247.8,1964706.8,1967790.1
4000000,2395672.6,2393575.9,2397771.1
5000000,2766878.9,2764060.1,2769700.6
6000000,3092997.2,3088541.8,3097459
7000000,3383194.3,3374671.3,3391738.9
8000000,3644137.6,3626780.9,3661577.4
9000000,3880803.3,3850225.9,3911623.4
10000000,4097049.3,4051367.8,4143245.8
11000000,4294765.7,4233206.7,4357219.9
12000000,4476794,4398442.5,4556541.2
13000000,4645651,4549286.7,4744056.4
14000000,4802617.1,4686875.6,4921216.9
15000000,4948802.2,4812320.3,5089154.9
16000000,5086010.1,4927528.8,5249588.6
17000000,5214274.6,5032704.3,5402395.6
18000000,5334773.1,5129226.2,5548557.1
19000000,5448224.3,5218023.8,5688580.4
20000000,5555256,5299927.4,5822885.4
21000000,5656150.7,5375402.7,5951561.7
22000000,5751626.5,5445326.2,6075156.3
23000000,5842145.4,5510292,6193984.3
24000000,5928094.7,5570794.7,6308311.1
25000000,6009821.1,5627265.2,6418384.2
26000000,6087636.2,5680079.7,6524435.7
27000000,6162159.7,5729905.2,6627022.8
28000000,6233952.6,5777336.4,6726657.9
29000000,6302611,5821994.9,6822902.7
30000000,6368340.8,5864102.3,6915937.4
31000000,6431330,5903855.4,7005931.2
32000000,6491750.3,5941430.2,7093043.3
33000000,6549759,5976984,7177423.1
34000000,6604798.3,6009959.3,7258511.9
35000000,6657594.9,6041075.8,7337032.5
36000000,6708377.9,6070556.1,7413214.5
37000000,6757261.8,6098507,7487174.7
38000000,6804352.4,6125026.3,7559022.4
39000000,6849747.6,6150203.4,7628860.3
40000000,6893538.3,6174120,7696784.4
41000000,6935809,6196851.8,7762884.8
42000000,6976638.1,6218468,7827246
43000000,7016098.8,6239033,7889947.5
44000000,7054259.4,6258606.1,7951063.7
45000000,7091183.5,6277242.3,8010664.8
46000000,7126930.9,6294992.8,8068816.7
47000000,7161557.1,6311905.2,8125581.6
48000000,7195114.7,6328023.6,8181018
49000000,7227652.5,6343389.5,8235181.1
50000000,7259216.8,6358041.3,8288123
51000000,7289850.7,6372015.1,8339892.9
52000000,7319595.1,6385344.7,8390537.3
53000000,7348488.5,6398061.8,8440100.3
54000000,7376566.9,6410195.9,8488623.5
55000000,7403864.7,6421775,8536146.4
56000000,7430414,6432825.3,8582706.5
57000000,7456245.4,6443371.4,8628339.3
58000000,7481387.7,6453436.5,8673078.6
59000000,7505868.3,6463042.5,8716956.3
60000000,7529713.1,6472210,8760003
61000000,7552946.6,6480958.6,8802247.7
62000000,7575592.2,6489306.6,8843718
63000000,7597672,6497271.4,8884440.2
64000000,7619206.9,6504869.5,8924439.4
65000000,7640217,6512116.5,8963739.5
66000000,7660721.4,6519027.2,9002363.5
67000000,7680738,6525615.5,9040333
68000000,7700284.3,6531894.7,9077668.9
69000000,7719376.5,6537877.6,9114391.3
70000000,7738030.5,6543575.9,9150519
71000000,7756261.2,6549001.2,9186070.5
72000000,7774082.8,6554164.3,9221063.1
73000000,7791509,6559075.4,9255513.7
