TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,646247,645505.6,646989.2
2000000,1023840.7,1022355.2,1025328.5
3000000,1296797.3,1292993.2,1300612.7
4000000,1509206.2,1499494.5,1518980.7
5000000,1681515.7,1663268.2,1699963.5
6000000,1825093.5,1797821.6,1852779
7000000,1947320.8,1910337.2,1985020.3
8000000,2052549.1,2004535.4,2101712.9
9000000,2145024.7,2084920.1,2206862
10000000,2226498.9,2153630,2301833.3
11000000,2297389,2211368.7,2386755.4
12000000,2361801.7,2262437.1,2465530.4
13000000,2419560.5,2306796.5,2537836.8
14000000,2472015.3,2345895,2604916.2
15000000,2520131.9,2380769.5,2667652
16000000,2563650,2411213.9,2725723.1
17000000,2603952.5,2438647.6,2780462.7
18000000,2641164.1,2463223.2,2831959.2
19000000,2675946,2485620.2,2880845.3
20000000,2708267.5,2505821.2,2927069.5
21000000,2738351.3,2524057,2970839.4
22000000,2766424.2,2540558.3,3012370.4
23000000,2792695.4,2555535.7,3051864.1
24000000,2817413.7,2569236.4,3089563.9
25000000,2840640.9,2581719.8,3125529.2
26000000,2862508.8,2593113.8,3159890.9
27000000,2882878.2,2603275.3,3192511.5
28000000,2901881,2612330.9,3223524.8
29000000,2919849.6,2620605.5,3253264.1
30000000,2936973.5,2628281.4,3281921.5
31000000,2953467.9,2635566.3,3309714.8
32000000,2969141.4,2642263.3,3336458
33000000,2983984.8,2648356.9,3362147
34000000,2998012.5,2653855,3386801.1
35000000,3011386,2658911.6,3410585.7
36000000,3024150.1,2663564.8,3433550.3
37000000,3036345.6,2667849,3455740.8
38000000,3048009.8,2671795,3477199.3
39000000,3059292.8,2675545.9,3498079.6
40000000,3070163.6,2679065,3518356.2
41000000,3080594.2,2682318.8,3538006.2
42000000,3090610.8,2685328.2,3557060.6
43000000,3100237.7,2688111.8,3575548.4
44000000,3109497.2,2690686.7,3593496.4
45000000,3118410.1,2693068.5,3610929.9
46000000,3126995.5,2695271.5,3627872.3
47000000,3135308.9,2697346.2,3644382.9
48000000,3143150.6,2699090.3,3660268.7
49000000,3150716.3,2700693.6,3675727.4
50000000,3158021.1,2702166.7,3690778
51000000,3165078.3,2703519,3705437.6
52000000,3171900.3,2704758.8,3719722.3
53000000,3178498.7,2705894.1,3733647.3
54000000,3184884.2,2706931.9,3747226.8
55000000,3191067.1,2707878.9,3760474.4
56000000,3197056.9,2708741.3,3773403
57000000,3202862.4,2709524.8,3786024.6
58000000,3208492,2710234.5,3798350.6
59000000,3213953.7,2710875.4,3810392.1
60000000,3219254.8,2711452,3822159.3
61000000,3224402.3,2711968.5,3833661.9
62000000,3229402.9,2712428.7,3844909.5
63000000,3234262.6,2712836.4,3855910.7
64000000,3238987.5,2713194.8,3866674
65000000,3243582.9,2713507.1,3877207.6
66000000,3248054.3,2713776.2,3887519
67000000,3252406.5,2714004.9,3897615.6
68000000,3256644.2,2714195.7,3907504.3
69000000,3260771.9,2714351,3917191.9
70000000,3264793.9,2714472.9,3926684.7
71000000,3268714.2,2714563.7,3935988.8
72000000,3272536.4,2714625.2,3945110
73000000,3276264.4,2714659.2,3954053.9
74000000,3279901.6,2714667.4,3962825.9
75000000,3283451.1,2714651.5,3971431.1
76000000,3286916.2,2714612.9,3979874.4
77000000,3290299.9,2714553,3988160.5
78000000,3293604.9,2714473.2,3996294.1
79000000,3296834,2714374.7,4004279.3
