TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,872769,872265.2,873273.1
2000000,1560111.4,1558823.6,1561400.3
3000000,2120492,2118022.7,2122964.2
4000000,2587611.9,2583004.8,2592227.1
5000000,2982411.7,2971654.9,2993207.5
6000000,3319328,3297177.6,3341627.1
7000000,3612927.7,3579565,3646601.4
8000000,3869957,3825330.7,3915103.8
9000000,4096105.5,4039935.6,4153056.3
10000000,4298478.6,4230591.1,4367455.6
11000000,4479900.7,4400171.4,4561074.7
12000000,4642961,4551302.2,4736465.7
13000000,4790452.7,4686832.9,4896363.5
14000000,4924871.7,4809331.1,5043188.1
15000000,5047583.4,4920238.1,5178224.7
16000000,5160084.5,5021118,5302897.1
17000000,5263654.9,5113303.8,5418426.9
18000000,5359561.1,5198097.4,5526040.1
19000000,5448521.3,5276235.8,5626432.5
20000000,5531189.4,5348376.9,5720250.5
21000000,5608207.3,5415155.7,5808141.2
22000000,5679972.6,5476955.2,5890515.4
23000000,5747148,5534418.3,5968054.6
24000000,5810160.6,5587950.5,6041207
25000000,5869385.7,5637905.1,6110370.5
26000000,5925155.2,5684592.4,6175898.2
27000000,5977731.5,5728255.2,6238072.9
28000000,6027588.6,5769349.5,6297386.7
29000000,6074785.7,5807918.8,6353914.9
30000000,6119456.6,5844083.2,6407805.7
31000000,6161787.6,5878017.3,6459257.5
32000000,6202016.8,5909948.8,6508518.6
33000000,6240296.9,5940022.1,6555750.9
34000000,6276766.2,5968368.1,6601099.9
35000000,6311550.4,5995106.2,6644697.7
36000000,6344763.6,6020345.3,6686663.7
37000000,6376509.9,6044185.2,6727106.6
38000000,6406884.4,6066717,6766125.3
39000000,6435974.2,6088024.6,6803810.2
40000000,6463859.1,6108185,6840243.8
41000000,6490612.5,6127269.1,6875501.9
42000000,6516301.8,6145342.3,6909654.2
43000000,6540989.4,6162464.9,6942764.6
44000000,6564732.7,6178692.7,6974892.3
45000000,6587584.9,6194077.4,7006091.9
46000000,6609592.6,6208664.2,7036411.2
47000000,6630792.7,6222488.9,7065888.4
48000000,6651239.6,6235604.6,7094578.8
49000000,6670972.8,6248049.8,7122523
50000000,6690029,6259860.2,7149758.3
51000000,6708442.4,6271069.2,7176320.1
52000000,6726245.1,6281707.8,7202240.9
53000000,6743466.9,6291805.1,7227551.5
54000000,6760135.8,6301388.4,7252280.4
55000000,6776278,6310483.1,7276454.5
56000000,6791918.1,6319113.1,7300099
57000000,6807079.1,6327300.8,7323237.5
58000000,6821782.8,6335067.2,7345892.3
59000000,6836049.5,6342432.1,7368084.2
60000000,6849898.5,6349414.1,7389833
61000000,6863347.8,6356030.7,7411157.2
62000000,6876414.4,6362298.4,7432074.4
63000000,6889114.5,6368232.9,7452601
64000000,6901463.3,6373848.7,7472752.8
65000000,6913475.2,6379159.8,7492544.6
66000000,6925163.7,6384179.3,7511990.2
67000000,6936541.8,6388919.6,7531103
68000000,6947621.6,6393392.5,7549895.6
69000000,6958414.7,6397609.1,7568379.8
70000000,6968932.2,6401580,7586567.1
71000000,6979184.4,6405315.2,7604468.1
72000000,6989181.3,6408824.3,7622093.1
73000000,6998932.3,6412116.2,7639451.9
74000000,7008446.3,6415199.6,7656553.6
