TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,829319,828720.5,829917.9
2000000,1454002.6,1452620,1455386.5
3000000,1961293,1958996.4,1963592.4
4000000,2389756.2,2386245.7,2393271.8
5000000,2760145.3,2754459.1,2765843.3
6000000,3085495.1,3075275.4,3095748.9
7000000,3375786.9,3357427.9,3394246.3
8000000,3635505.5,3604284.5,3666996.8
9000000,3870706.5,3823562,3918432.3
10000000,4084717.5,4021216.2,4149221.5
11000000,4281629.7,4201970.6,4362798.8
12000000,4462587.9,4366579.8,4560707.1
13000000,4630244.7,4517336.1,4745975.3
14000000,4785121.8,4654598.8,4919304.9
15000000,4928177.2,4779290.1,5081702.4
16000000,5062909.9,4894935.2,5236648.9
17000000,5188162.3,5000432.3,5382940.2
18000000,5305526.5,5097438.5,5522109
19000000,5415744,5186762.3,5654834.5
20000000,5519463.2,5269116.9,5781704
21000000,5617254.5,5345133.1,5903229.6
22000000,5709950.2,5415698.8,6020189.2
23000000,5798294.8,5481608.6,6133276.8
24000000,5882090.9,5542711.7,6242250.2
25000000,5961688.6,5599399.6,6347418.1
26000000,6037401.9,5652023.6,6449056.8
27000000,6109513.7,5700900,6547415
28000000,6178279.5,5746313.9,6642717.2
29000000,6243402.9,5787997.2,6734640.3
30000000,6303720.5,5824815.2,6822000.5
31000000,6361271.9,5858824.2,6906809.1
32000000,6416242.2,5890228.5,6989230.5
33000000,6470536.7,5920944,7071143.7
34000000,6522760.9,5949596.5,7151142.1
35000000,6572888.8,5976174.4,7229184.6
36000000,6621045.2,6000814.6,7305381.4
37000000,6667344.8,6023642.9,7379834.3
38000000,6711893.7,6044775.3,7452637.2
39000000,6754790.1,6064318.6,7523877.4
40000000,6796124.7,6082371.4,7593635.4
41000000,6835981.7,6099024.9,7661986.5
42000000,6874439.5,6114363.6,7729000.4
43000000,6911570.8,6128465.9,7794742.1
44000000,6947443.4,6141404.4,7859272.3
45000000,6982120.5,6153246.8,7922647.7
46000000,7015661.2,6164055.8,7984921.5
47000000,7048120.6,6173890.2,8046143.2
48000000,7079550.5,6182804.6,8106359.3
49000000,7109999.2,6190849.9,8165613.8
50000000,7139512.2,6198073.9,8223947.5
51000000,7168132,6204521.1,8281399.3
52000000,7195898.8,6210233.4,8338005.4
53000000,7222850.2,6215249.8,8393800.2
54000000,7249021.8,6219607.1,8448816.1
55000000,7274447,6223339.7,8503083.7
56000000,7299157.3,6226480.1,8556631.9
57000000,7323182.7,6229058.6,8609487.9
58000000,7346551.3,6231104,8661677.8
59000000,7369289.6,6232643.3,8713226.1
60000000,7391423,6233701.7,8764156
61000000,7412975.3,6234303.4,8814489.6
62000000,7433969.1,6234471,8864248
63000000,7454426,6234225.9,8913451.1
64000000,7474366.3,6233588.2,8962117.8
65000000,7493809.3,6232577,9010266.3
66000000,7512773.6,6231210.4,9057913.8
67000000,7531276.5,6229505.6,9105076.6
68000000,7549334.8,6227478.6,9151770.5
69000000,7566964.3,6225144.9,9198010.4
70000000,7584180.1,6222519.1,9243810.6
71000000,7600996.7,6219614.8,9289184.6
72000000,7617427.8,6216445.3,9334145.6
73000000,7633486.5,6213022.9,9378706.1
74000000,7649185.4,6209359.6,9422877.9
75000000,7664536.4,6205466.4,9466672.5
76000000,7679551,6201354.2,9510100.9
77000000,7694240.2,6197033,9553173.7
78000000,7708614.4,6192512.6,9595900.8
79000000,7722683.7,6187802.1,9638292.1
80000000,7736457.7,6182910.4,9680356.7
81000000,7749945.6,6177845.8,9722103.6
82000000,7763156.2,6172616.2,9763541.5
83000000,7776098,6167229.2,9804678.6
84000000,7788779.2,6161692.2,9845522.8
85000000,7801207.5,6156012,9886081.8
86000000,7813390.4,6150195.2,9926362.9
87000000,7825335.2,6144248.2,9966373.3
88000000,7837048.7,6138176.9,10006119.8
89000000,7848537.7,6131987,10045609
90000000,7859808.5,6125684.2,10084847.3
91000000,7870867.3,6119273.7,10123840.7
92000000,7881720,6112760.4,10162595.3
93000000,7892372.4,6106149.3,10201116.8
94000000,7902829.9,6099444.8,10239410.6
95000000,7913097.8,6092651.4,10277482.2
96000000,7923181.3,6085773.4,10315336.7
97000000,7933085.2,6078814.7,10352979
