TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,951053,950663.2,951443
2000000,1824655,1823644,1825666.6
3000000,2634370.2,2632553.3,2636188.4
4000000,3389042.7,3386218,3391869.8
5000000,4095102.5,4090931.3,4099277.8
6000000,4758230.1,4751791.3,4764677.6
7000000,5382721.6,5373497.2,5391961.9
8000000,5972532.4,5959474.4,5985618.9
9000000,6530236.1,6511883,6548640.9
10000000,7059742.2,7034781.4,7084791.6
11000000,7562734.2,7529809,7595803.3
12000000,8040411.8,7998094.6,8082953
13000000,8496190.8,8443021.1,8549695.3
14000000,8931394.8,8865917.4,8997355.8
15000000,9348367.9,9269158.6,9428254.1
16000000,9746899.6,9652581.8,9842139
17000000,10127352.7,10016606.9,10239323
18000000,10491798.6,10363367.7,10621821.2
19000000,10844484.4,10697176.1,10993821.2
20000000,11183705.4,11016393.8,11353557.9
21000000,11509113.6,11320738.7,11700622.9
22000000,11822182.3,11611748.7,12036429.4
23000000,12123344.7,11889920.5,12361351.6
24000000,12416292.9,12159006.5,12679023.5
25000000,12697392.5,12415432.5,12985756
26000000,12968049.2,12660660.6,13282901
27000000,13229543.9,12896025.8,13571687.5
28000000,13482347.2,13122050.7,13852536.6
29000000,13726897.1,13339222.2,14125838.9
30000000,13963601.2,13547995,14391956.8
31000000,14192877.7,13748831.4,14651265.3
32000000,14415182.3,13942229.2,14904179
33000000,14630722.3,14128435.5,15150866.1
34000000,14839808.6,14307798.5,15391600.5
35000000,15042729.5,14480642,15626635.2
36000000,15239787,14647301.4,15856238.7
37000000,15431461.2,14808288,16080859.3
38000000,15617752.3,14963631.8,16300467.1
39000000,15798888,15113588.2,16515261.5
40000000,15975083.1,15258398.4,16725430.3
41000000,16146540.3,15398289.8,16931150.7
42000000,16313451.3,15533477,17132590.1
43000000,16475997.3,15664163.1,17329907
44000000,16634349.8,15790539.9,17523251
45000000,16788671.3,15912789.2,17712764.3
46000000,16939115.9,16031083,17898581.5
47000000,17085875.9,16145630.6,18080876.7
48000000,17229506.3,16257001.9,18260186.5
49000000,17369685.1,16364890.5,18436173.4
50000000,17506537.1,16469435.1,18608946.7
51000000,17640180.9,16570767.4,18778610.2
52000000,17770854.7,16669137.5,18945388.1
53000000,17897907.3,16763907,19108617.5
54000000,18022063.3,16855810.2,19269009.5
55000000,18143426.1,16944960.4,19426655.7
56000000,18262089.8,17031461.1,19581639
57000000,18378144.2,17115410.8,19734039
58000000,18491675.2,17196903.6,19883931.5
59000000,18602764.9,17276029.1,20031389.1
60000000,18711491.8,17352873,20176481.7
61000000,18817931,17427517,20319276
62000000,18922154.7,17500039.4,20459836.1
63000000,19024231.6,17570514.7,20598223.5
64000000,19124228,17639014.6,20734497.2
65000000,19222207.3,17705607.2,20868714
66000000,19318230.2,17770358.1,21000928.4
67000000,19412355.2,17833329.9,21131193
68000000,19504438.6,17894383.6,21259359.1
69000000,19594573.5,17953615.7,21385514.5
70000000,19682971.4,18011240.8,21509865.2
71000000,19769682.3,18067311.8,21632456.5
72000000,19854754.2,18121879.7,21753332
73000000,19938233.5,18174993.3,21872533.7
74000000,20020164.5,18226699.6,21990102.3
75000000,20100590.2,18277043.4,22106076.9
76000000,20179551.9,18326068.2,22220495.4
77000000,20257089.2,18373815.5,22333394.1
78000000,20333240.6,18420325.2,22444808.5
79000000,20408042.9,18465635.9,22554772.5
80000000,20481532,18509784.4,22663319.2
81000000,20553742.1,18552806.3,22770480.5
82000000,20624706.5,18594735.9,22876287.2
83000000,20694457.3,18635606.2,22980769.1
84000000,20763025.3,18675448.8,23083955.1
85000000,20830440.7,18714294.4,23185873.3
86000000,20896732.2,18752172.5,23286550.8
87000000,20961927.8,18789111.4,23386013.8
88000000,21026054.6,18825138.6,23484287.8
89000000,21089138.7,18860280.4,23581397.6
90000000,21151205.4,18894562.4,23677367
91000000,21212279.1,18928009.1,23772219.5
92000000,21272383.7,18960644.3,23865977.4
93000000,21331542,18992490.8,23958662.8
94000000,21389713.7,19023508.7,24050234.8
95000000,21446680.6,19053481.2,24140476
96000000,21502767.7,19082731.3,24229708.7
97000000,21557995.4,19111278.8,24317952.4
98000000,21612383.3,19139143,24405226.1
99000000,21665950.4,19166342.8,24491548.2
100000000,21718715.2,19192896,24576936.8
101000000,21770695.7,19218820.3,24661409.2
102000000,21821909.1,19244132.4,24744982.5
103000000,21872372.5,19268848.7,24827673.2
104000000,21922102.1,19292985,24909497.5
105000000,21971113.9,19316556.6,24990470.9
106000000,22019423.4,19339578.4,25070608.9
107000000,22067045.5,19362064.7,25149926.2
108000000,22113994.9,19384029.4,25228437.4
109000000,22160285.7,19405485.9,25306156.5
110000000,22205931.8,19426447.4,25383097.4
111000000,22250946.4,19446926.4,25459273.4
112000000,22295342.7,19466935.3,25534697.6
113000000,22339133.3,19486485.8,25609382.9
114000000,22382330.5,19505589.6,25683341.6
115000000,22424946.4,19524257.8,25756585.8
116000000,22466992.6,19542501.2,25829127.6
117000000,22508480.4,19560330.4,25900978.3
118000000,22549421,19577755.5,25972149.3
119000000,22589825.1,19594786.5,26042651.7
120000000,22629703.2,19611433,26112496.1
121000000,22669065.5,19627704.3,26181693.2
122000000,22707922,19643609.4,26250253.2
123000000,22746282.3,19659157.3,26318186.1
124000000,22784156,19674356.4,26385501.7
125000000,22821955.1,19689613.8,26452608
126000000,22859341.3,19704593.7,26519170.6
127000000,22896265.2,19719246.4,26585141.6
128000000,22932735.4,19733579.7,26650529.8
129000000,22968760.3,19747600.9,26715344
130000000,23004348,19761317.1,26779592.8
131000000,23039506.4,19774735.5,26843284.6
132000000,23074243.2,19787862.9,26906427.5
133000000,23108566,19800705.7,26969029.7
134000000,23142482.1,19813270.6,27031098.9
135000000,23175998.8,19825563.8,27092642.9
136000000,23209123.1,19837591.3,27153669.3
137000000,23241861.8,19849359.2,27214185.3
138000000,23274221.7,19860873.2,27274198.3
139000000,23306209.2,19872138.9,27333715.3
140000000,23337830.9,19883161.9,27392743.3
141000000,23369092.9,19893947.5,27451289
142000000,23400001.3,19904500.8,27509359.2
143000000,23430562.2,19914827,27566960.3
144000000,23460781.4,19924931,27624098.8
145000000,23490664.5,19934817.6,27680781
146000000,23520217.2,19944491.4,27737013
147000000,23549444.9,19953957.1,27792800.8
148000000,23578353,19963219.2,27848150.4
149000000,23606946.6,19972281.9,27903067.5
150000000,23635231,19981149.4,27957557.9
151000000,23663211,19989826,28011627.2
152000000,23690891.6,19998315.6,28065280.8
153000000,23718277.5,20006622.2,28118524.1
154000000,23745373.6,20014749.6,28171362.5
155000000,23772184.2,20022701.5,28223801
156000000,23798714,20030481.6,28275844.8
157000000,23824967.3,20038093.4,28327498.9
158000000,23850948.4,20045540.4,28378768.1
159000000,23876661.6,20052825.9,28429657.3
160000000,23902111,20059953.4,28480171.3
161000000,23927300.5,20066926,28530314.6
162000000,23952234.3,20073746.9,28580091.8
163000000,23976916.1,20080419,28629507.4
164000000,24001349.8,20086945.6,28678565.9
165000000,24025539.1,20093329.4,28727271.5
166000000,24049487.6,20099573.3,28775628.4
167000000,24073198.9,20105680.2,28823641
168000000,24096676.6,20111652.7,28871313.2
169000000,24119924.1,20117493.6,28918649.1
170000000,24142944.7,20123205.4,28965652.7
171000000,24165741.8,20128790.7,29012327.9
172000000,24188318.6,20134252,29058678.4
173000000,24210678.2,20139591.7,29104708.2
174000000,24232823.9,20144812.2,29150420.9
175000000,24254758.7,20149915.8,29195820.1
176000000,24276485.5,20154904.8,29240909.4
177000000,24298007.3,20159781.4,29285692.4
178000000,24319327,20164547.8,29330172.5
179000000,24340418,20169177.1,29374324.2
180000000,24360973.5,20173367,29417847.3
181000000,24381337.4,20177455,29461079.8
182000000,24401512.3,20181443.2,29504025
183000000,24421501,20185333.5,29546686
184000000,24441305.9,20189127.8,29589065.9
185000000,24460929.6,20192828,29631167.9
186000000,24480374.6,20196435.8,29672995
187000000,24499643.2,20199953,29714550.2
188000000,24518737.9,20203381.3,29755836.5
189000000,24537661.1,20206722.4,29796856.6
190000000,24556414.9,20209978.1,29837613.6
191000000,24575001.8,20213149.8,29878110.1
192000000,24593423.9,20216239.2,29918349
193000000,24611683.4,20219247.8,29958332.9
194000000,24629782.4,20222177.2,29998064.7
195000000,24647723,20225028.8,30037546.8
196000000,24665507.4,20227804.2,30076782
197000000,24683137.5,20230504.6,30115772.8
198000000,24700615.4,20233131.5,30154521.6
199000000,24717943,20235686.3,30193031.1
200000000,24735122.2,20238170.3,30231303.6
201000000,24752155,20240584.9,30269341.6
202000000,24769043.2,20242931.2,30307147.4
203000000,24785788.6,20245210.6,30344723.5
204000000,24802393.1,20247424.3,30382072
205000000,24818858.4,20249573.4,30419195.4
206000000,24835186.2,20251659.3,30456095.8
207000000,24851378.3,20253683,30492775.4
208000000,24867436.4,20255645.6,30529236.5
209000000,24883362.1,20257548.3,30565481.2
210000000,24899157.1,20259392.1,30601511.6
211000000,24914822.9,20261178.2,30637329.9
212000000,24930361.2,20262907.6,30672938
213000000,24945773.4,20264581.2,30708338
214000000,24961061.1,20266200.2,30743532
215000000,24976225.9,20267765.4,30778521.8
216000000,24991269.1,20269277.9,30813309.5
217000000,25006192.3,20270738.5,30847897
218000000,25020996.9,20272148.3,30882286.2
219000000,25035684.3,20273508.1,30916479
220000000,25050255.8,20274818.8,30950477.1
221000000,25064712.9,20276081.4,30984282.5
222000000,25079056.9,20277296.5,31017897
223000000,25093289.1,20278465.2,31051322.2
224000000,25107410.8,20279588.1,31084560
225000000,25121423.2,20280666.2,31117612.1
226000000,25135327.8,20281700.2,31150480.3
227000000,25149125.6,20282690.9,31183166.1
228000000,25162818,20283639.1,31215671.2
229000000,25176406.1,20284545.4,31247997.4
230000000,25189891.1,20285410.7,31280146.1
231000000,25203274.2,20286235.7,31312119.1
232000000,25216556.5,20287021,31343917.9
233000000,25229739.2,20287767.4,31375544
234000000,25242823.3,20288475.5,31406999
235000000,25255810.1,20289146,31438284.4
236000000,25268700.5,20289779.6,31469401.7
237000000,25281495.7,20290376.9,31500352.5
238000000,25294196.6,20290938.5,31531138
239000000,25306804.4,20291465.1,31561759.9
240000000,25319320,20291957.2,31592219.5
241000000,25331744.5,20292415.6,31622518.3
242000000,25344078.9,20292840.6,31652657.5
243000000,25356324,20293233,31682638.7
244000000,25368481,20293593.3,31712463.1
245000000,25380550.7,20293922,31742132.2
246000000,25392534.1,20294219.7,31771647.1
247000000,25404432,20294486.9,31801009.4
248000000,25416245.5,20294724.1,31830220.1
249000000,25427975.4,20294932,31859280.6
250000000,25439622.6,20295110.9,31888192.3
251000000,25451187.9,20295261.3,31916956.2
252000000,25462672.3,20295383.8,31945573.7
253000000,25474076.5,20295478.9,31974045.9
254000000,25485401.5,20295546.9,32002374.2
255000000,25496647.9,20295588.5,32030559.6
256000000,25507816.7,20295603.9,32058603.3
257000000,25518908.7,20295593.7,32086506.6
258000000,25529924.6,20295558.4,32114270.5
259000000,25540865.2,20295498.2,32141896.1
260000000,25551731.3,20295413.7,32169384.7
261000000,25562523.7,20295305.3,32196737.4
262000000,25573243,20295173.4,32223955.1
