TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,866310,865850.4,866769.8
2000000,1542621.5,1541538.4,1543705.4
3000000,2091291.7,2089465,2093120
4000000,2547882.2,2545085.9,2550681.6
5000000,2934645.8,2930346.5,2938951.4
6000000,3266743,3259075.4,3274428.6
7000000,3555364.1,3540795.1,3569993.1
8000000,3809103.3,3784164.8,3834206.2
9000000,4033951.4,3994228.5,4074069.4
10000000,4233926.7,4176248.2,4292401.8
11000000,4412093.4,4335036.7,4490519.8
12000000,4573420.6,4477010.4,4671906.9
13000000,4720377.4,4605341.9,4838286.4
14000000,4854301.2,4721507.5,4990829.9
15000000,4977043.4,4827266.7,5131467.2
16000000,5089794.2,4923706.8,5261484
17000000,5193736.6,5011953,5382113.5
18000000,5290052.5,5093157.9,5494558.8
19000000,5379425.8,5167983.3,5599519.2
20000000,5462583.8,5237132.4,5697740.6
21000000,5540155.2,5301206.5,5789874.4
22000000,5612686.3,5360723.6,5876491.6
23000000,5680654.2,5416133.3,5958094.1
24000000,5744477.6,5467828.6,6035123.8
25000000,5804525.1,5516154.8,6107970.7
26000000,5861123,5561417,6176980.3
27000000,5914447,5603772,6242345.9
28000000,5964791.7,5643497.3,6304378
29000000,6012468.9,5680888.5,6363402.7
30000000,6057685.3,5716138.1,6419640.5
31000000,6100627.1,5749418.2,6473289.9
32000000,6141461.8,5780883.8,6524530.5
33000000,6180340.9,5810674.3,6573525.3
34000000,6217401.9,5838915.5,6620422.4
35000000,6252769.5,5865721.3,6665357
36000000,6286557.3,5891194.9,6708452.7
37000000,6318868.9,5915429.9,6749822.8
38000000,6349799.1,5938511.6,6789571.3
39000000,6379434.6,5960517.7,6827793.9
40000000,6407855.3,5981519.1,6864578.9
41000000,6435134.3,6001580.8,6900007.6
42000000,6461339.1,6020762.3,6934155.6
43000000,6486532,6039118.3,6967092.7
44000000,6510770.5,6056699.2,6998883.6
45000000,6534108,6073551.2,7029588.7
46000000,6556441.6,6089565.4,7059112.2
47000000,6577888.1,6104852.2,7087577.3
48000000,6598575.7,6119533.4,7115117.9
49000000,6618544,6133642.8,7141779.4
50000000,6637829.7,6147211.9,7167604.4
51000000,6656467.4,6160269.9,7192632.6
52000000,6674489.1,6172843.9,7216901.3
53000000,6691925,6184959.2,7240445.4
54000000,6708803,6196639.5,7263297.8
55000000,6725149.7,6207906.6,7285489.4
56000000,6740989.6,6218781.3,7307049.1
57000000,6756346,6229282.8,7328004.3
58000000,6771240.7,6239429.2,7348380.7
59000000,6785694.3,6249237.3,7368202.7
60000000,6799726,6258723,7387493.1
61000000,6813354,6267901.3,7406273.7
62000000,6826595.6,6276786.2,7424565
63000000,6839466.9,6285390.9,7442386.3
64000000,6851983.2,6293727.9,7459756
65000000,6864159.1,6301808.8,7476691.5
66000000,6876008.2,6309644.7,7493209.4
67000000,6887543.6,6317246.2,7509325.3
68000000,6898777.5,6324623,7525054.2
69000000,6909721.6,6331784.5,7540410.2
70000000,6920386.9,6338739.6,7555406.7
71000000,6930784.1,6345496.6,7570056.5
72000000,6940923,6352063.5,7584371.9
73000000,6950813.2,6358447.8,7598364.6
74000000,6960501.9,6364694.6,7612083.4
75000000,6969981.8,6370794.9,7625523.4
76000000,6979237.7,6376732,7638671.3
77000000,6988277.6,6382511.9,7651536.7
78000000,6997117.5,6388149.2,7664137.5
79000000,7005804.6,6393689.2,7676522.4
80000000,7014296,6399087.8,7688650.4
81000000,7022598.4,6404350.2,7700529.6
82000000,7030717.9,6409481.1,7712167.9
83000000,7038660.6,6414485.3,7723572.6
84000000,7046432.1,6419367.1,7734750.9
85000000,7054037.9,6424130.7,7745709.6
86000000,7061483.4,6428780.3,7756455.4
87000000,7068773.4,6433319.6,7766994.4
88000000,7075912.8,6437752.3,7777332.8
89000000,7082906.3,6442082,7787476.4
90000000,7089758.3,6446312.1,7797430.8
91000000,7096472.9,6450445.7,7807201.3
92000000,7103054.4,6454486,7816793.1
93000000,7109506.6,6458435.9,7826211.2
94000000,7115833.3,6462298.4,7835460.4
95000000,7122038.1,6466076.1,7844545.3
96000000,7128124.6,6469771.7,7853470.3
97000000,7134096,6473387.7,7862239.7
98000000,7139955.6,6476926.5,7870857.6
99000000,7145706.5,6480390.4,7879328.1
100000000,7151351.8,6483781.7,7887654.9
101000000,7156894.2,6487102.5,7895841.7
102000000,7162336.6,6490354.9,7903892.3
103000000,7167681.7,6493540.9,7911809.9
104000000,7172932.1,6496662.5,7919597.9
105000000,7178090.2,6499721.3,7927259.6
106000000,7183158.4,6502719.3,7934798.1
107000000,7188139.2,6505658.1,7942216.4
108000000,7193034.7,6508539.5,7949517.4
109000000,7197847,6511364.9,7956703.9
110000000,7202578.4,6514135.9,7963778.6
111000000,7207230.9,6516854,7970744.3
112000000,7211806.3,6519520.6,7977603.4
113000000,7216306.6,6522137.2,7984358.4
114000000,7220733.6,6524705,7991011.7
115000000,7225089.1,6527225.3,7997565.8
116000000,7229374.9,6529699.3,8004022.7
117000000,7233592.5,6532128.4,8010384.7
118000000,7237743.7,6534513.5,8016653.9
119000000,7241829.8,6536855.9,8022832.4
120000000,7245852.6,6539156.7,8028922.2
121000000,7249813.4,6541416.8,8034925.1
122000000,7253713.6,6543637.3,8040843.2
123000000,7257554.7,6545819.2,8046678.1
124000000,7261337.9,6547963.4,8052431.7
125000000,7265064.6,6550070.9,8058105.7
126000000,7268736,6552142.5,8063701.8
127000000,7272353.4,6554179.2,8069221.6
128000000,7275917.9,6556181.6,8074666.6
129000000,7279430.6,6558150.8,8080038.5
130000000,7282892.8,6560087.4,8085338.6
131000000,7286305.5,6561992.2,8090568.5
132000000,7289669.7,6563865.9,8095729.6
133000000,7292986.4,6565709.4,8100823.2
134000000,7296256.7,6567523.2,8105850.7
135000000,7299481.6,6569308,8110813.4
136000000,7302661.9,6571064.5,8115712.5
137000000,7305798.6,6572793.4,8120549.3
138000000,7308892.5,6574495.2,8125325
139000000,7311944.7,6576170.6,8130040.7
140000000,7314955.8,6577820.1,8134697.7
141000000,7317926.7,6579444.3,8139296.9
142000000,7320858.2,6581043.8,8143839.6
143000000,7323751.1,6582619,8148326.7
144000000,7326606.1,6584170.6,8152759.2
145000000,7329424.1,6585699,8157138.3
146000000,7332205.6,6587204.7,8161464.8
147000000,7334951.5,6588688.2,8165739.8
148000000,7337662.3,6590149.9,8169964.1
149000000,7340338.8,6591590.3,8174138.6
150000000,7342981.5,6593009.9,8178264.3
151000000,7345591.2,6594409.1,8182342
152000000,7348168.5,6595788.3,8186372.6
153000000,7350713.9,6597147.8,8190356.8
154000000,7353228,6598488.2,8194295.6
155000000,7355711.5,6599809.8,8198189.6
156000000,7358164.8,6601112.9,8202039.7
157000000,7360588.6,6602397.9,8205846.5
158000000,7362983.2,6603665.2,8209610.9
159000000,7365349.4,6604915.2,8213333.6
