TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,878851,878420.1,879282.1
2000000,1578020.1,1576836.7,1579204.3
3000000,2151474.5,2149208,2153743.3
4000000,2630861.8,2626853.9,2634875.9
5000000,3038312,3031327.4,3045312.7
6000000,3388920,3377853.6,3400022.7
7000000,3693977,3678078.8,3709943.9
8000000,3961917.4,3940803.4,3983144.5
9000000,4198642.4,4172112.8,4225340.6
10000000,4409841.9,4377795,4442123.5
11000000,4599194.6,4561593,4637106.1
12000000,4770088,4726940.4,4813629.5
13000000,4925043.2,4876391.3,4974180.6
14000000,5066390.4,5012299.4,5121065.1
15000000,5195637.3,5136189.8,5255772.9
16000000,5314058.7,5249348.9,5379566.1
17000000,5423161.7,5353292.4,5493943
18000000,5523962,5449041.1,5599913
19000000,5617401.4,5537540.2,5698414.4
20000000,5704262.6,5619574.2,5790227.4
21000000,5785217,5695814.7,5876022.5
22000000,5860847.3,5766844.2,5956382.7
23000000,5931662.3,5833170.2,6031817.4
24000000,5998140.9,5895270,6102806.9
25000000,6060660.2,5953518.6,6169730
26000000,6119547.6,6008241,6232916.3
27000000,6175110.6,6059742.2,6292675.5
28000000,6227623.2,6108293.6,6349283.9
29000000,6277329.8,6154136.9,6402988.8
30000000,6324449.5,6197488.3,6454011.6
31000000,6369179.2,6238542,6502552
32000000,6411696.2,6277472.6,6548789.8
33000000,6452160.9,6314437.6,6592888
34000000,6490662.6,6349523.8,6634938.7
35000000,6527349.9,6382877.1,6675092.8
36000000,6562383.4,6414655.5,6713513.5
37000000,6595872.5,6444966,6750312.5
38000000,6627917.1,6473905.9,6785592.2
39000000,6658608.7,6501564.5,6819446.3
40000000,6688031.2,6528023.5,6851960.9
41000000,6716261.7,6553357.7,6883215.3
42000000,6743371.3,6577635.9,6913282.6
43000000,6769425.3,6600921.8,6942230.3
44000000,6794484.3,6623273.6,6970120.7
45000000,6818604.1,6644745.5,6997011.8
46000000,6841836.7,6665387.5,7022957
47000000,6864230.1,6685245.8,7048006.4
48000000,6885828.9,6704363.4,7072206.1
49000000,6906674.7,6722780.2,7095599.5
50000000,6926806.3,6740533.4,7118226.7
51000000,6946259.6,6757657.6,7140125.4
52000000,6965068.4,6774184.9,7161330.7
53000000,6983264.2,6790145.4,7181875.5
54000000,7000876.6,6805567.4,7201790.8
55000000,7017933,6820477,7221105.4
56000000,7034459.5,6834899,7239846.5
57000000,7050480.3,6848856.5,7258039.7
58000000,7066018.3,6862371.1,7275708.9
59000000,7081095.1,6875463.3,7292876.9
60000000,7095730.7,6888152.1,7309564.9
61000000,7109944.5,6900455.6,7325793.1
62000000,7123754.8,6912391.5,7341581.1
63000000,7137210,6924006.8,7356978.2
64000000,7150293.7,6935284.4,7371968.7
65000000,7163020.9,6946238.4,7386569
66000000,7175406.2,6956882.3,7400794.1
67000000,7187463,6967229,7414658.7
68000000,7199204.4,6977290.4,7428176.3
69000000,7210642.4,6987078,7441360.1
70000000,7221788.7,6996602.8,7454222.4
71000000,7232654.4,7005874.8,7466774.9
72000000,7243249.9,7014903.9,7479028.9
73000000,7253585.1,7023699.4,7490995
74000000,7263669.6,7032270,7502683.4
75000000,7273512.3,7040624.2,7514103.8
76000000,7283121.8,7048769.9,7525265.3
77000000,7292506.4,7056714.7,7536176.8
78000000,7301673.8,7064465.7,7546846.7
79000000,7310631.5,7072030,7557283.1
80000000,7319386.6,7079414,7567493.5
81000000,7327945.8,7086624.1,7577485.3
82000000,7336315.8,7093666.2,7587265.7
83000000,7344502.7,7100545.9,7596841.2
84000000,7352512.4,7107268.9,7606218.3
85000000,7360350.7,7113840.3,7615403.2
86000000,7368022.9,7120265,7624401.8
87000000,7375534.3,7126548,7633219.8
88000000,7382890,7132693.6,7641862.6
89000000,7390094.6,7138706.5,7650335.4
90000000,7397152.9,7144590.6,7658643.3
91000000,7404069.2,7150350.1,7666791.1
92000000,7410847.7,7155988.8,7674783.4
93000000,7417492.6,7161510.4,7682624.7
94000000,7424007.7,7166918.5,7690319.2
95000000,7430396.9,7172216.5,7697871
96000000,7436663.7,7177407.7,7705284.3
97000000,7442811.6,7182495.2,7712562.6
98000000,7448843.9,7187482,7719709.9
99000000,7454764,7192371.2,7726729.5
100000000,7460574.9,7197165.4,7733624.9
101000000,7466279.5,7201867.4,7740399.4
102000000,7471880.9,7206479.8,7747056.2
103000000,7477381.7,7211005,7753598.4
104000000,7482784.6,7215445.6,7760028.9
105000000,7488092.3,7219803.7,7766350.6
