TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,691053.5,690404.1,691703.5
2000000,1107069.5,1105866.4,1108273.9
3000000,1406375.9,1404653.1,1408100.8
4000000,1638997.6,1636582.6,1641416.3
5000000,1827781.9,1823730.9,1831842
6000000,1985634.7,1977359.6,1993944.5
7000000,2120364,2105186.8,2135650.7
8000000,2237001.6,2214472.3,2259760.1
9000000,2339691.6,2310036.9,2369727
10000000,2430707.6,2393912.7,2468068.1
11000000,2511569.5,2467439.1,2556489.1
12000000,2584076.3,2532368,2636840.4
13000000,2649803.9,2590291.1,2710684.1
14000000,2709470.6,2641964.8,2778701.3
15000000,2763974.8,2688330.1,2841748
16000000,2814306.6,2730417.6,2900773.1
17000000,2860762.8,2768560.2,2956036
18000000,2903600.9,2803046.9,3007762
19000000,2943330.9,2834414.3,3056432.9
20000000,2980380.9,2863112.5,3102452.3
21000000,3014980.6,2889390.2,3146029.9
22000000,3047340,2913472.9,3187358.1
23000000,3077673,2935587,3226636.1
24000000,3106166.5,2955930.2,3264038.6
25000000,3132984.9,2974675.4,3299719.6
26000000,3158273.4,2991974.4,3333815.6
27000000,3182160.6,3007961.6,3366448
28000000,3204760.9,3022755.5,3397725.2
29000000,3226176.5,3036461.6,3427744.5
30000000,3246498.9,3049174.1,3456593.4
31000000,3265810.4,3060976.8,3484350.9
32000000,3284185.1,3071945.2,3511088.7
33000000,3301690.1,3082146.8,3536871.6
34000000,3318386,3091642.6,3561758.9
35000000,3334328,3100487.7,3585804.6
36000000,3349566.3,3108731.9,3609058.3
37000000,3364146.8,3116420.3,3631565.3
38000000,3378111.4,3123594.1,3653367.3
39000000,3391498.5,3130290.6,3674502.9
40000000,3404343.3,3136543.9,3695007.5
41000000,3416678.3,3142385.1,3714914
42000000,3428533.3,3147842.8,3734252.8
43000000,3439936,3152943.1,3753052.2
44000000,3450911.9,3157710.1,3771338.3
45000000,3461484.5,3162165.7,3789135.7
46000000,3471675.8,3166330.4,3806467.2
47000000,3481506.1,3170222.9,3823354.1
48000000,3490994.3,3173860.5,3839816.2
49000000,3500158,3177259.2,3855872.3
50000000,3509013.6,3180433.8,3871539.9
51000000,3517576.4,3183398,3886835.4
52000000,3525860.8,3186164.6,3901774.1
53000000,3533880.2,3188745.5,3916370.7
54000000,3541647.1,3191151.6,3930638.8
55000000,3549173.3,3193393.1,3944591.4
56000000,3556469.8,3195479.6,3958240.6
57000000,3563546.9,3197420.1,3971597.9
58000000,3570414.6,3199222.7,3984674.3
59000000,3577081.9,3200895.3,3997480
60000000,3583557.5,3202445.1,4010024.8
61000000,3589849.6,3203879,4022318.1
62000000,3595965.9,3205203.2,4034368.5
63000000,3601913.6,3206423.7,4046184.5
64000000,3607699.7,3207546.1,4057774
65000000,3613330.7,3208575.7,4069144.6
66000000,3618812.6,3209517.4,4080303.4
67000000,3624151.5,3210375.9,4091257.4
68000000,3629352.7,3211155.4,4102013
69000000,3634421.7,3211860.1,4112576.6
70000000,3639363.3,3212494,4122954.1
71000000,3644182.3,3213060.5,4133151.1
72000000,3648883.2,3213563.1,4143173.2
73000000,3653470.3,3214005.2,4153025.5
74000000,3657947.8,3214389.7,4162713.1
75000000,3662319.4,3214719.5,4172240.7
76000000,3666589,3214997.5,4181612.8
77000000,3670760,3215226.1,4190834
78000000,3674835.8,3215407.8,4199908.4
79000000,3678819.6,3215544.9,4208840
80000000,3682714.6,3215639.7,4217632.8
81000000,3686523.7,3215694.1,4226290.4
82000000,3690249.7,3215710.2,4234816.4
83000000,3693895.2,3215689.9,4243214.4
84000000,3697462.9,3215634.9,4251487.6
85000000,3700955.2,3215546.9,4259639.2
86000000,3704374.5,3215427.4,4267672.3
87000000,3707723.1,3215278.1,4275589.9
88000000,3711003.1,3215100.3,4283394.9
89000000,3714216.7,3214895.5,4291089.9
90000000,3717365.7,3214664.9,4298677.6
91000000,3720452.3,3214409.8,4306160.7
92000000,3723478.1,3214131.3,4313541.6
93000000,3726445,3213830.6,4320822.6
94000000,3729354.6,3213508.7,4328006.2
95000000,3732208.7,3213166.8,4335094.5
96000000,3735008.8,3212805.6,4342089.8
97000000,3737756.3,3212426.3,4348994
98000000,3740452.9,3212029.6,4355809.2
99000000,3743099.9,3211616.4,4362537.5
100000000,3745698.6,3211187.4,4369180.6
101000000,3748250.3,3210743.6,4375740.4
102000000,3750756.4,3210285.6,4382218.7
103000000,3753218,3209814,4388617.3
104000000,3755636.3,3209329.7,4394937.7
105000000,3758012.4,3208833.1,4401181.7
106000000,3760347.5,3208325,4407350.7
107000000,3762640.9,3207804.2,4413444.7
108000000,3764874.5,3207252.4,4419446.3
109000000,3767070.3,3206691,4425377.7
110000000,3769229.4,3206120.5,4431240.4
111000000,3771352.7,3205541.3,4437035.6
112000000,3773441,3204954.1,4442764.8
113000000,3775495.2,3204359.1,4448429.1
114000000,3777516.2,3203756.8,4454029.9
115000000,3779504.7,3203147.6,4459568.3
116000000,3781461.5,3202532,4465045.5
117000000,3783387.3,3201910.2,4470462.6
118000000,3785283,3201282.6,4475820.8
119000000,3787149.1,3200649.6,4481121.1
120000000,3788986.4,3200011.5,4486364.6
121000000,3790795.6,3199368.5,4491552.3
122000000,3792577.3,3198721.1,4496685.3
123000000,3794332,3198069.5,4501764.4
124000000,3796060.5,3197413.9,4506790.7
125000000,3797763.3,3196754.6,4511765
126000000,3799440.9,3196092,4516688.3
127000000,3801094,3195426.1,4521561.4
128000000,3802723,3194757.3,4526385.2
129000000,3804328.5,3194085.7,4531160.6
130000000,3805911,3193411.6,4535888.3
131000000,3807470.9,3192735.2,4540569.1
132000000,3809008.8,3192056.7,4545203.8
133000000,3810525.2,3191376.3,4549793.2
134000000,3812020.4,3190694,4554338.1
135000000,3813494.9,3190010.2,4558839
136000000,3814949.1,3189325,4563296.8
137000000,3816383.5,3188638.6,4567712.2
138000000,3817798.5,3187951,4572085.7
139000000,3819194.4,3187262.5,4576418.1
140000000,3820571.6,3186573.1,4580710
141000000,3821930.5,3185883.1,4584962
142000000,3823271.5,3185192.5,4589174.8
143000000,3824594.9,3184501.4,4593348.9
144000000,3825901.1,3183810.1,4597485
145000000,3827190.3,3183118.5,4601583.6
146000000,3828463,3182426.8,4605645.2
147000000,3829719.4,3181735.2,4609670.5
148000000,3830959.9,3181043.7,4613659.9
149000000,3832184.7,3180352.3,4617614
150000000,3833394.2,3179661.3,4621533.4
151000000,3834588.6,3178970.7,4625418.4
152000000,3835768.2,3178280.5,4629269.6
153000000,3836933.3,3177590.9,4633087.6
154000000,3838084.1,3176901.9,4636872.7
155000000,3839221,3176213.6,4640625.4
156000000,3840344.1,3175526.1,4644346.2
157000000,3841453.7,3174839.5,4648035.5
158000000,3842550.1,3174153.7,4651693.8
159000000,3843633.5,3173468.9,4655321.6
160000000,3844704.1,3172785.2,4658919.1
161000000,3845762.1,3172102.5,4662486.8
162000000,3846807.8,3171421,4666025.2
163000000,3847841.4,3170740.7,4669534.6
164000000,3848863.1,3170061.6,4673015.4
165000000,3849873,3169383.8,4676468.1
166000000,3850871.5,3168707.4,4679892.8
167000000,3851858.6,3168032.4,4683290.2
168000000,3852834.7,3167358.8,4686660.4
169000000,3853799.7,3166686.6,4690003.9
170000000,3854754.1,3166016,4693321
171000000,3855697.9,3165346.9,4696612
172000000,3856631.2,3164679.3,4699877.2
173000000,3857554.4,3164013.4,4703117.1
174000000,3858467.5,3163349.2,4706331.9
175000000,3859370.7,3162686.6,4709522
176000000,3860264.1,3162025.7,4712687.5
177000000,3861148,3161366.5,4715829
178000000,3862022.5,3160709.1,4718946.5
179000000,3862887.6,3160053.5,4722040.6
180000000,3863743.7,3159399.7,4725111.3
181000000,3864590.7,3158747.7,4728159.1
182000000,3865429,3158097.6,4731184.1
183000000,3866258.5,3157449.3,4734186.8
