TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,840623.5,840061.5,841185.9
2000000,1497436.5,1496229.4,1498644.6
3000000,2047676.4,2045800.1,2049554.5
4000000,2524390.5,2521699.2,2527084.8
5000000,2946245.5,2942167.7,2950329
6000000,3324697.9,3317201.2,3332211.5
7000000,3668463.1,3652925.1,3684067.1
8000000,3983908.3,3956417.9,4011589.7
9000000,4273880.1,4233791.7,4314348
10000000,4543123.6,4489519.2,4597368
11000000,4794131.1,4725435.6,4863825.3
12000000,5026371.9,4940770.2,5113456.7
13000000,5244356.6,5139999.1,5350833
14000000,5451324.2,5326409,5579169
15000000,5644983.2,5497793.1,5796114
16000000,5828486.8,5657403.7,6004743.5
17000000,6001836.6,5805348.9,6204974.6
18000000,6165842.8,5942546.6,6397529.6
19000000,6321567.6,6070164.8,6583382.6
20000000,6470646.9,6189941.2,6764082.3
21000000,6613228.1,6302121.5,6939692.6
22000000,6747400.2,6404891.3,7108225.3
23000000,6874865.5,6500040.2,7271305.1
24000000,6996626.6,6588653.5,7429861.6
25000000,7113977.4,6672101.1,7585118
26000000,7226577.4,6750116.3,7736669.8
27000000,7334653.3,6822993.6,7884682.6
28000000,7438642.3,6891232.9,8029535.4
29000000,7538582.5,6954931.7,8171212.7
30000000,7634713.1,7014383.6,8309902.6
31000000,7727254,7069859,8445777.1
32000000,7816407.7,7121607.7,8578993.9
33000000,7902361.5,7169860.3,8709698
34000000,7985288.7,7214830.4,8838022.8
35000000,8065349.8,7256716,8964091.7
36000000,8142693.9,7295700.6,9088018.8
37000000,8217459.7,7331955.1,9209909.7
38000000,8289997.9,7365858.1,9330082.6
39000000,8360498.8,7397626.8,9448697.8
40000000,8428787.6,7427113.3,9565554.9
41000000,8494968.5,7454445.3,9680732.4
42000000,8559139.4,7479742.2,9794303.7
43000000,8621391.9,7503115.8,9906337.6
44000000,8682008,7524864.6,10017092.3
45000000,8740968.2,7544986.8,10126528.7
46000000,8798118.3,7563346.3,10234476
47000000,8853141.2,7579645.1,10340604
48000000,8906628.3,7594482.8,10445481.2
49000000,8958643.7,7607935.8,10549155.5
50000000,9009248,7620076,10651672
51000000,9058498.4,7630971.1,10753073.6
52000000,9106449.1,7640685,10853400.7
53000000,9153151.3,7649277.6,10952691.5
54000000,9198653.5,7656805.7,11050982.5
55000000,9243001.8,7663322.8,11148308
56000000,9286240,7668879.4,11244700.6
57000000,9328409.4,7673523.2,11340191.5
58000000,9369549.6,7677299.3,11434810.2
59000000,9409698.1,7680250.3,11528584.8
60000000,9448890.4,7682416.8,11621542.1
61000000,9487160.7,7683836.9,11713707.5
62000000,9524541.2,7684546.8,11805105.5
63000000,9561062.9,7684580.9,11895759.2
64000000,9596755.2,7683971.8,11985690.9
65000000,9631646.2,7682750.3,12074921.7
66000000,9665762.7,7680945.7,12163472
67000000,9699130.4,7678586,12251361.1
68000000,9731773.7,7675697.4,12338607.7
69000000,9763716.2,7672305.3,12425229.6
70000000,9794980.3,7668433.4,12511243.8
71000000,9825587.5,7664104.4,12596666.8
