TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,898710,898313.8,899106.4
2000000,1642189.6,1641069,1643311
3000000,2271895.9,2269751.3,2274042.6
4000000,2813294,2809645.5,2816947.3
5000000,3284141.5,3277856.1,3290439
6000000,3697299.6,3686151,3708481.9
7000000,4062885.8,4043411.4,4082454
8000000,4389183.7,4357534.3,4421063
9000000,4681256.2,4632860.2,4730157.7
10000000,4945435.6,4875841.3,5016023.2
11000000,5183630.4,5089305.9,5279703.1
12000000,5401319.9,5280031.6,5525394.4
13000000,5600800.1,5451635.5,5754046.2
14000000,5783990.7,5607115.3,5966445.7
15000000,5952516.3,5748827.4,6163422.2
16000000,6108547.7,5879355.5,6346674.5
17000000,6253232.4,6000025.7,6517124.6
18000000,6387765.5,6112063,6675904.3
19000000,6513180,6216446.4,6824077.8
20000000,6630373.3,6313978.2,6962623
21000000,6740119.8,6405322.4,7092416.6
22000000,6843088.3,6491035.5,7214235.3
23000000,6939911.3,6571643.4,7328816.5
24000000,7031123.4,6647582.9,7436792.7
25000000,7117198.7,6719240.1,7538727.1
26000000,7198559.4,6786958.7,7635122
27000000,7275582.7,6851046.6,7726426
28000000,7348606.6,6911780.2,7813040.5
29000000,7417934.7,6969409.3,7895325.5
30000000,7483840.7,7024159.6,7973604.7
31000000,7546572.1,7076235.9,8048170.1
32000000,7606352.7,7125824.5,8119285.2
33000000,7663386.2,7173095.3,8187189
34000000,7717857.5,7218203.3,8252098.5
35000000,7769935.7,7261290.3,8314211.2
36000000,7819775.1,7302486.3,8373707.2
37000000,7867516.9,7341910.6,8430751.3
38000000,7913291,7379672.9,8485494.6
39000000,7957216.6,7415874.3,8538075.6
40000000,7999403.3,7450607.9,8588621.7
41000000,8039952.5,7483959.8,8637250.6
42000000,8078957.8,7516009.5,8684070.8
43000000,8116505.5,7546830.7,8729182.5
44000000,8152669.7,7576485.4,8772672.3
45000000,8187488,7605000.4,8814589.8
46000000,8221073.4,7632478.5,8855059.1
47000000,8253490.5,7658974.7,8894154.7
48000000,8284799.1,7684540,8931945.9
49000000,8315055,7709222.1,8968497.7
50000000,8344310.6,7733065.5,9003870.5
51000000,8372614.7,7756111.8,9038120.9
52000000,8400012.9,7778400.1,9071302
53000000,8426547.9,7799966.7,9103463.3
54000000,8452260.1,7820845.8,9134651.5
55000000,8477187,7841069.6,9164910.4
56000000,8501364.2,7860668.1,9194281.2
57000000,8524824.9,7879669.7,9222802.7
58000000,8547600.5,7898101.1,9250511.4
59000000,8569720.6,7915987.4,9277441.6
60000000,8591213.1,7933352.3,9303626
61000000,8612104.3,7950218,9329095.3
62000000,8632419.2,7966605.7,9353878.4
63000000,8652181.2,7982535.4,9378002.9
64000000,8671412.6,7998025.7,9401494.8
65000000,8690134.5,8013094.6,9424378.7
66000000,8708366.9,8027759,9446678.1
67000000,8726128.8,8042034.8,9468415.1
68000000,8743438,8055937.2,9489610.8
69000000,8760311.8,8069480.6,9510285.3
70000000,8776766.3,8082678.7,9530457.6
71000000,8792817,8095544.5,9550145.8
72000000,8808478.5,8108090.2,9569367.3
73000000,8823764.8,8120327.7,9588138.4
74000000,8838689.3,8132268.1,9606474.8
75000000,8853264.7,8143922.1,9624391.6
76000000,8867503,8155299.9,9641903
77000000,8881415.9,8166411,9659022.6
78000000,8895014.3,8177264.8,9675763.5
79000000,8908308.8,8187870,9692138.1
80000000,8921309.5,8198235.1,9708158.3
81000000,8934026,8208368,9723835.6
82000000,8946467.6,8218276.6,9739180.9
83000000,8958643,8227968.1,9754204.5
84000000,8970560.6,8237449.6,9768916.6
85000000,8982228.7,8246727.8,9783326.8
86000000,8993654.9,8255809.1,9797444.2
87000000,9004846.8,8264699.8,9811277.8
88000000,9015811.3,8273405.8,9824835.9
89000000,9026555.5,8281932.7,9838126.8
90000000,9037085.8,8290286.1,9851158.3
91000000,9047408.7,8298471.1,9863937.9
92000000,9057530.1,8306492.7,9876472.9
93000000,9067455.9,8314355.9,9888770.3
