TOTAL_READS,EXPECTED_DISTINCT,LOWER_0.95CI,UPPER_0.95CI
0,0,0,0
1000000,918712,918345.7,919078.5
2000000,1711902.5,1711084.8,1712720.6
3000000,2408440.7,2407122.7,2409759.4
4000000,3027004.5,3025113.9,3028896.4
5000000,3580820.1,3578222.8,3583419.4
6000000,4080221.9,4076632.7,4083814.2
7000000,4533098.3,4528098.6,4538103.5
8000000,4945775.1,4939004.8,4952554.7
9000000,5323970.1,5314754.7,5333201.6
10000000,5671339.9,5659046.3,5683660.1
11000000,5992282.7,5976225,6008383.5
12000000,6289433.3,6268812.3,6310122.1
13000000,6565402.7,6539310.7,6591598.8
14000000,6822177.4,6789639.5,6854871.3
15000000,7062319.1,7022346.1,7102519.7
16000000,7286598.2,7238238,7335281.4
17000000,7496697.9,7439078.3,7554763.9
18000000,7694103,7626461.1,7762344.8
19000000,7880017.8,7801717.5,7959104
20000000,8055574.3,7966111.2,8146042.1
21000000,8221414,8120411.9,8323672.4
22000000,8378297.7,8265498.2,8492636.5
23000000,8527294.1,8402542.6,8653897.7
24000000,8668721.7,8531952,8807683.9
25000000,8803015.5,8654233.8,8954355
26000000,8930625.6,8769896,9094300.9
27000000,9052351,8879782.3,9228273.3
28000000,9168666.2,8984400.4,9356711.1
29000000,9279749,9083951.8,9479766.3
30000000,9385945.8,9178799,9597767.4
31000000,9487510.5,9269205.5,9710956.8
32000000,9584603.1,9355336.4,9819488.4
33000000,9677681.2,9437650.2,9923817.1
34000000,9766989.3,9516389.7,10024188
35000000,9852752.2,9591776.3,10120828.8
36000000,9935177.3,9664012.1,10213951.2
37000000,10014456.1,9733282.6,10303752.1
38000000,10090848.3,9799840.8,10390497.3
39000000,10164444.9,9863770.7,10474284.5
40000000,10235387.7,9925207.1,10555262
41000000,10303817.8,9984284,10633577.9
42000000,10369968,10041227.3,10709471.4
43000000,10433955.5,10096147.4,10783066.3
44000000,10495797.8,10149055.6,10854386.4
45000000,10555601.2,10200052.1,10923543.9
46000000,10613465.1,10249230.4,10990643.8
47000000,10669482.4,10296678.1,11055784.6
48000000,10723740.4,10342477.3,11119058.4
49000000,10776320.8,10386704.8,11180551.7
50000000,10827300.3,10429433,11240345.6
51000000,10876751,10470729.6,11298516.5
52000000,10924740.7,10510658.7,11355136.1
53000000,10971333.5,10549280.4,11410272
54000000,11016589.4,10586651.5,11463987.7
55000000,11060565.3,10622825.6,11516343.1
56000000,11103199.8,10657738.4,11567280.2
57000000,11144614.6,10691508.7,11616923.1
58000000,11184903,10724227.2,11665367.8
59000000,11224110.4,10755936.8,11712662.1
60000000,11262279.6,10786678,11758851.2
61000000,11299451.5,10816489.6,11803978
